event_id,사건명,사건유형,시기,시기근거,관련조직,상위사건,근거절,보조출전,근거수준,비고,참여자메모,지역구분,시기구분,관련조직_미매핑,시기구획
E013,사변사 쓰지의 관찰도 등청과 연회,의례,1904,추정,O074;O112,E010,33-1,,회고록단독,국새 훈령 제시 등청 의식과 관찰사 이하 약 20명 참석 한국식 연회·이후 교섭 원만·약 3달 후 관찰사 교체 서술로 1904년 추정·수행 정 군·유 군 외 10명,쓰지 소노지로;히메노 다로지,대구,시기내,,민회기(1903~05)
E014,미나카이상점 연합 조직,설립,1904~1905,추정,O021,,37-2,,회고록단독,설립 연도 명시 없음·1905년 말 시점 기존재 서술과 창립자들의 1904년 이래 거주(40-1 갑진회 명단)로 1904~1905 구간 추정·4개 점포 연맹·합자,나카에 고로헤;나카에 도미주로;나카무라 헤이시로;오쿠이 와헤이,대구,시기내,,민회기(1903~05)
E015,삼맹상회 개점,설립,1904,본문서술,O022,,43-2,,회고록단독,그해 9월=1904년 9월(마치다 등 1904년 봄 도한 문맥)·3인 합자조직 약방을 북문 밖에 개점·단명,가미모리 겐자부로;나카이데 세이타로;스즈키 젠시치,대구,시기내,,민회기(1903~05)
E016,대구일본동포회 설립,설립,1904-06,본문서술,O001;O071,,43-3,,회고록단독,영사관 서기 마쓰무라 종용으로 취지서(1904.6) 발표·발기인 17명·자치단체의 소지 마련·2개월 뒤 거류민회로 개편,이노 히데스케;이노우에 쓰네나오;쓰지 소노지로;니시모토 온키치;도쿠히사 요네조;오쿠보 하지메;오다 리사쿠;야마와키 쇼사쿠;마유미 다다시;아오시마 구메조;아키야마 시카렌;미와 조테쓰;시모다 고키치;히자쓰키 마스키치;히라사와 이와타로;센가 다마키;스다 산페이;마쓰무라,대구,시기내,,민회기(1903~05)
E017,신태휴 관찰사의 초등학교 설립,설립,1904,본문서술,,,50-1,,회고록단독,도내 각지에 초등학교 설립·유지 방법 부재로 곧 폐쇄,신태휴,경북관내,시기내,,민회기(1903~05)
E018,대일본인거류민회 설립,설립,1904-08,본문서술,O002;O071;O001,,3-2;43-1;43-3,『대구민단사』 pp.22~23,교차확인,회장1·부회장1·평의원 20명 체제; 평의원은 16명만 기록에 남음(나머지 불명) | [2-033 병합] 동포회를 2개월 만에 개편해 처음 조직·공비세입출예산과 영업자등급할 부과 결정(아리타 부과4등·월 1원 사례)·주도 개인 명시 없음 | 구간 중복 병합(설립·공비예산 결정 포함),아리요시 아키라(부산영사·인가); 도쿠히사 요네조(민회장); 이노 히데스케(부회장); 이노우에 쓰네나오(의장); 도쿠라 소로쿠(평의원); 미와 조테쓰(평의원); 마유미 다다시(평의원); 시라타 신스케(평의원); 가미야 도요나리(평의원); 마스다 도라타(평의원); 오쿠보 하지메(평의원); 스즈키 히사지로(평의원); 가와시마 규에몬(평의원); 요시키 도시조(평의원); 스다 산페이(평의원); 시모다 고키치(평의원); 쓰지 소노지로(평의원); 모리나가 소이치(평의원); 오카다 지로(평의원); 우치다 로쿠로(평의원);아리타 오토마쓰,대구,시기내,,민회기(1903~05)
E019,부산우편국 대구출장소 개칭,조직개편,1904-12-15,본문서술,O080,,48-2,,회고록단독,우편사무 발전을 위해 출장소로 개칭·소장 야기 다쓰마(법학사) | 상위사건 후보(미확정): 대구 우편기관 정비 연쇄,야기 다쓰마,대구,시기내,,민회기(1903~05)
E020,여순함락 전승축하회·전몰자 추도회,의례,1905-01-05,본문서술,O044;O002,,5-1,,회고록단독,역 앞 칠성리 개최; 참석자 1천여 명·한국인 다수(개인 비식별),도쿠라 소로쿠(주최자 대표); 후카와 고테쓰(추도회 법사 사회),전국-대구반응,시기내,,민회기(1903~05)
E021,제일은행 부산지점 대구출장소 설치,설립,1905-01,본문서술,O012,,8-3,,회고록단독,"기록상 1905-01·저자 기억은 4월경(R-05 준용해 기록 우선, 양쪽 병기); 역 앞 초가 건물",(개인 미상),대구,시기내,,민회기(1903~05)
E022,대구실업신문 창간·축하회,창간·경영이전,1905-02-18,본문서술,O030,,7-1,『대구민단사』 pp.194~195,교차확인,지침 확정 시기 1905-02-18; 한국인 유력자 출연; 격일간 소신문·3개월 못 가 휴간 후 부정기 발행; 정식 제호는 대구실업신보(27-3),시모즈 사부로(창설·공동경영); 마키노 슈(창설·공동경영); 시라타 신스케(축사); 요시다 주이치로(축사·연설),대구,시기내,,민회기(1903~05)
E023,대전첩축하회(봉천 전승),의례,1905-03-15,본문서술,O002,,11-2~11-3,,회고록단독,달성산 개최·거류민회 주최; 연도는 봉천 전투(1905-03) 서술 문맥으로 특정; 아사히·삿포로 맥주 특약점 경품 기증으로 성황,가와이 아사오(궐련 증정); 고다마 이타로(궐련 증정),전국-대구반응,시기내,부산연초주식회사,민회기(1903~05)
E024,시부사와 에이이치 환영회,의례,1905-04,본문서술,O012;O111,,4-3,,회고록단독,본문 '1905년 4월 어느 날'; 한일 합동 환영·청중 약 200명; 한일친선 연설,시부사와 에이이치(대상·연설); 오구라 다케노스케(환영사),대구,시기내,,민회기(1903~05)
E025,이용익 관찰사 배척운동(임시일본인대회·시위),집단운동·대회,1905-04,본문서술,O065;O030;O074;O091,E025,7-1~7-3,,회고록단독,격문 1905-04-26·달성관 임시대회 04-28·선화당 시위·구금 한국인 석방 04-29·이용익 퇴거 04-30; 불씨는 대구실업신문이 지핌,도쿠라 소로쿠(발기인); 마유미 다다시(발기인); 샤쿠오 슌조(발기인); 오구라 다케노스케(발기인); 시모즈 사부로(발기인); 미와 조테쓰(발기인); 오키타 스테지로(발기인); 마치다 규고(발기인); 마스다 도라타(발기인) 외 발기인 총 27명(전원 명단 본문 기재); 히타카 사이지(중재); 박중양(중재); 이용익(대상),대구,시기내,,민회기(1903~05)
E026,달성산 개간 중지 담판,중재·교섭,1905-04,본문서술,O002;O091;O074,E025,13-2,,회고록단독,본문 '1905년 4월경'; 뽕밭 개간 중지시키고 한일 공동 유원지로 공인,미와 조테쓰(주도); 도쿠라 소로쿠(민회 부회장); 히타카 사이지(응원); 박중양(동행); 히자쓰키 마스키치(동행); 이용익(대상),대구,시기내,,민회기(1903~05)
E027,다도코로 유키에 민장 당선,선거·임명,1905-05,본문서술,O002,,5-1,,회고록단독,본문 '1905년 5월경'; 당선 후 호별부과 신제도·민회 사무소 북문 밖 이전·서기 증원 등 민정 쇄신(후보명 일부를 비고로 이관),다도코로 유키에(당선),대구,시기내,,민회기(1903~05)
E029,후시미노미야 대구역 통과 봉송,의례,1905-05-23,본문서술,O002,,11-4,,회고록단독,본문 '5월 23일경'; 민회 시달로 예복 없는 재류민 대다수 총출동 봉송(개인 비식별),후시미노미야 히로야스(대상),전국-대구반응,시기내,,민회기(1903~05)
E030,한국 우체사·전신사 통일과 청사 이전,조직개편,1905-05-23,본문서술,O080,,48-2,,회고록단독,1905.4 한국 통신기관 위임계약 성립에 따라 일본 통신기관에 합병·구 우체사·전신사 청사 자리로 이전 | 상위사건 후보(미확정): 대구 우편기관 정비 연쇄,,대구,시기내,한국 우체사·전신사,민회기(1903~05)
E032,인두세 폐지,조직개편,1905,본문서술,O002,,26-2~26-3,,회고록단독,1905년 보궐선거 직후 당선 후 첫 회의에서 인두세 불가 주장·합법적 세제 요구로 폐지; 방청자 십여 명,가와이 아사오(주장); 샤쿠오 슌조(방청 야유),대구,시기내,,민회기(1903~05)
E033,대구수산주식회사 설립,설립,1905,본문서술,O013,,14-1,,회고록단독,본문 '1905년 가을'; 자본금 3만원·대구 최초 일본인 주식회사; 본문 '이노우에 쓰네타다'는 한자(井上常直)상 이노우에 쓰네나오와 동일인,나카무라 도시마쓰(이사장); 기리오카 긴조(설립 참여); 오타 가쓰사부로(설립 참여); 도쿠라 소로쿠(지배인); 이노우에 쓰네나오(감사 겸 회계주임),대구,시기내,,민회기(1903~05)
E034,하주조합 조직과 해산,설립,1905,본문서술,O015,,29-1,,회고록단독,본문 '1905년경'; 참여 상점 20여 곳·아카시에서 월 1회 회합·6개월 계약제; 운송업자 와해공작으로 1년 미만 해산(~1906 추정),가와이 아사오(주도); 다케 아무개(지정 운송취급점),대구,시기내,,민회기(1903~05)
E035,신문 『조선』 창간,창간·경영이전,1905-06,본문서술,O034,,27-1,,회고록단독,본문 '1905년 6월경'; 순간(旬刊) 발행·오래 지속 못함; 대구실업신문과 양지 대립 구도,샤쿠오 슌조(발행),대구,시기내,,민회기(1903~05)
E036,대구실업신문 주필 교체,선거·임명,1905,본문서술,O030,,27-2,,회고록단독,"우에다 1905-09 무렵 부임; 승계자 본문 표기 '노다 다다시'=아쿠타가와 다다시(대표 표기, 지침 확정)",우에다 고쿠초(주필 부임 후 2개월 만에 이직); 아쿠타가와 다다시(주필 승계),대구,시기내,,민회기(1903~05)
E037,담배 판매경쟁과 사사키의 중재,중재·교섭,1905,추정,,,31-1~31-2,,회고록단독,개인 상점 간 경쟁이나 유력자 사사키 이치조의 중재 개입으로 등재(코딩북 2.1 경계 사례)·러일전쟁 종전 직후 서술로 1905년 추정,가와이 아사오;쓰지 소노지로;사사키 이치조,대구,시기내,하라타 대구지점,민회기(1903~05)
E038,후지이(사카이 만지로) 조난과 구조,재난·사고,1905,본문서술,,,34-2~35-1,,회고록단독,1905년 늦가을 상주 옥산동에서 화적 피습 중상·닛신도에서 구조대 파견·김천 철도의 응급처치 후 대구 이송(집합적 대응)·후지이=사카이 만지로(대표 표기 적용),사카이 만지로;우에다 기사부로,경북관내,시기내,후지이닛신도,민회기(1903~05)
E039,사문진 도적 습격 유언비어 소동,재난·사고,1905,추정,,,35-1,,회고록단독,후지이 조난 직후 도적 내습 헛소문에 대구 전체 동요·정차장 피난 소동·참여자는 거류민 일반(개인 미식별·집합 주체는 식별됨),,대구,시기내,,민회기(1903~05)
E040,대구서부소방조직 창설,설립,1905,본문서술,O059,,35-2,,회고록단독,7~8월경 준비 착수·기부금 2백원·9월 4일 설비 완비(펌프·격납고·경종대)·9월 17일 서문시장 소방연습·발기인에 다카세·마쓰마에·아오미·오이케 각 지점 포함(관리위원 10명),우치다 로쿠로;스즈키 히사지로;사이토 요시조;스다 산페이;마유미 다다시;도쿠라 소로쿠,대구,시기내,,민회기(1903~05)
E041,부식원 설립과 실패,설립,1905~1907,본문서술,O023,,36-2,,회고록단독,1905년 6월쯤 남산정 뒤 신학교 언덕에 설립(약 1만원 투자·원예·과수·서양 채소)·1907년 가을 실패로 야기 경성 도주·요시무라는 사무원,야기 마쓰타로;서상돈;요시무라 가쓰타로,대구,시기내,,민회기(1903~05)
E043,거류민회 평의원 언동 자제 합의,집단운동·대회,1905,추정,O002,,37-2,,회고록단독,통감부 설치 공포 전후 정세 급변에 평의원 일동 회합·언동 자제 결의·개인 미식별(집합 주체 식별)·1905년 말 추정,,대구,시기내,,민회기(1903~05)
E044,대구마쓰하코석유판매조합 결성,설립,1905,본문서술,O014,,38-1,,회고록단독,1905년 10월 말 설립 착수·13개 상점 참여·이와세 저택 수차 회합 끝에 결성·스탠다드 부산 특약점과 상시 2천 개 저장 조건 확보,와타나베 히스루;이와세 시즈카;가와이 아사오,대구,시기내,,민회기(1903~05)
E045,오이케의 성벽도로 청원과 거류민 반대,청원,1905,본문서술,,,38-2,,회고록단독,"성벽 파괴 후 도로부지 2칸 폭 99년 무상대여를 한국정부에 청원·거류민 총반대로 불인가·장 문맥(""다사다난했던 1905년"")상 1905년 12월 이전",오이케 주스케,대구,시기내,,민회기(1903~05)
E046,대구구락부 발회식,설립,1905-07,본문서술,O049,,28-1,,회고록단독,본문 '1905년 7월 하순' 일심관 발회식·약 40명; 저자 부산 요양(~8월 초순)·우에다 부임 9월(27-2) 서술과 시기 긴장 있으나 본문 표기 따름,마키노 슈(주도); 히자쓰키 마스키치(주도); 다도코로 유키에(주도); 스즈키 히사지로(주도); 가와이 아사오(주도); 박중양(참석); 우에다 고쿠초(참석); 이토 쓰네조(재무고문·참석); 이다 아키라(경무고문·참석); 이와세 시즈카(참석); 미와 조테쓰(참석·연설),대구,시기내,,민회기(1903~05)
E047,쇄신회 결성·선언서 배포,설립,1905-08,본문서술,O066;O002,,24-1~24-3,,회고록단독,저자 8월 초순 귀환 직후~보궐선거(8월 하순) 사이; 민회 경비 팽창·인두세 비판; 선언서 천 장 배포·포스터 부착,오키타 스테지로(주도); 가와이 아사오(동조),대구,시기내,,민회기(1903~05)
E048,거류민회 평의원 보궐선거(1905),선거·임명,1905-08,본문서술,O002;O066,,24-3~25-1,,회고록단독,"본문 '8월 22, 23일쯤'; 보궐 4석·쇄신회파 전원 낙선; 유권자 200명 이상",오구라 다케노스케(당선 48표); 도쿠라 소로쿠(당선); 히자쓰키 마스키치(당선); 고다마 이타로(당선 27표); 오키타 스테지로(낙선); 오카모토 우이치(낙선); 가와이 아사오(낙선 25표); 마치다 규고(입후보 거절); 다도코로 유키에(민장),대구,시기내,,민회기(1903~05)
E049,보궐선거 무효표 분쟁과 타협,중재·교섭,1905-08,본문서술,O002;O071,,25-1~26-2,,회고록단독,오기표 처리 불공정 분쟁; 아리요시 아키라 영사 앞 소원 직전 타협; 도쿠라 사퇴로 가와이 차점 당선·민장 사과,가와이 아사오(당사자); 다도코로 유키에(당사자·사과); 오키타 도시타로(소원장 집필); 하타모토 기헤이(중재); 마스다 도라타(중재); 도쿠라 소로쿠(중재·사퇴),대구,시기내,,민회기(1903~05)
E050,대구소학교 설립 결의와 개교,설립,1905-08~1905-10,본문서술,O002;O038;O036,,30-1~30-2;28-1,,회고록단독,1905-08 중순 민회 설립 결의·1905-10-02 북문 밖 민가에서 개교식(학생 38명·단급제); 공학 불가 설득(30-1)과 구락부 토의(28-1)가 발단,히자쓰키 마스키치(설립 종용); 아와타 에이지로(초대 교장 겸 교사),대구,시기내,,민회기(1903~05)
E051,대구우편국 승격,조직개편,1905-10-21,본문서술,O080,,48-2,,회고록단독,출장소 폐지·대구우편국 승격 | 상위사건 후보(미확정): 대구 우편기관 정비 연쇄,,대구,시기내,,민회기(1903~05)
E052,황조 요배전 부지 요배식,의례,1905-11-03,본문서술,O091;O077;O002,,13-3,,회고록단독,부지 선정 푯말 설치와 요배식; 본문 13-3 표기는 '아리마 경찰서장'(대표 표기 아리마 고코),야마다 중위(후임 수비대장·입회); 아리마 고코(경찰서장·입회); 다도코로 유키에(민회장·입회),대구,시기내,,민회기(1903~05)
E055,서부소방 제1회 신년 시무식과 임원 구성,의례,1906-01-04,본문서술,O059,,35-2,,회고록단독,첫 신년 시무식·조장 스즈키 이하 부장·소두·별대 임원 진용 확정(이하 계장 14명)·다나카 준지는 당시 별대 갈고리 담당,스즈키 히사지로;우라하마 야스타로;스에마쓰 긴지로;가시마 쇼키치;시모조 효자부로;하라타 요시조;아베 기노스케;다나카 준지,대구,시기내,,민단 제도화기(1906~07)
E056,신년 인사모임,의례,1906-01-05,본문서술,O002,,42-2,,회고록단독,다도코로 민장·평의회 의장 등 발기로 북문 밖 야마토에서 개최·회비 50전·다도코로 민장=다도코로 유키에(51-3),다도코로 유키에,대구,시기내,,민단 제도화기(1906~07)
E057,『대구신보』 개제(오키타 편집),창간·경영이전,1906-01,본문서술,O030,,70-2,,회고록단독,"『대구실업신문』(창간 1905-02-18, 판정 확정 사항)을 개제. 오키타 2개월 만 사퇴, 후임 부재로 1개월 정도 휴간. 후보 1행('신문 제호 변경·휴간')을 국면별 2건(3-042·3-043)으로 분리.",오키타 스테지로(편집),대구,시기내,,민단 제도화기(1906~07)
E058,일본어속성야학교 주임 교체,선거·임명,1906-02,본문서술,O039;O043,,29-4,,회고록단독,후보 '야학교 주임 교체·포교소 이전'을 두 사건으로 분리 기입(1/2),스토 시즈야(전임 명령으로 이임); 사토 겐쇼(승계),대구,시기내,,민단 제도화기(1906~07)
E059,다도코로 민장의 경성 진정,청원,1906-02,본문서술,O002,,42-2,,회고록단독,"평의원 1명 동행·통감대리 하세가와 방문·대구이사청 설치와 거류민단법 시행 요망·본문 표기 ""하세가와 요시미쓰""는 하세가와 요시미치(대표 표기)",다도코로 유키에;하세가와 요시미치,대구,시기내,,민단 제도화기(1906~07)
E063,대관병식과 의친왕 특파대사 파견,의례,1906-04-30,본문서술,,,47-2,,회고록단독,"도쿄 아오야마 연병장 대관병식 축하 특파대사 파견·부사 이근호(전 경북관찰사)·박중양이 기사 자격 수행·통역 | [J-12 잔류 2026-07-23] 대구·경북 인물(박중양·이근호 전 경북관찰사) 직접 관련으로 레지스트리 잔류, 지역구분 전국배경→전국-대구반응",의친왕;이근호;박중양,전국-대구반응,시기내,,민단 제도화기(1906~07)
E064,대구 개선 축하회,의례,1906-05,본문서술,,,47-1,,회고록단독,"5월 어느 날부터 사흘간 시가 장식·행렬·""핫초하마 에라이얏자"" 소동·참여자는 거류민·병사·순사 일반(개인 미식별·집합 주체 식별)",,대구,시기내,,민단 제도화기(1906~07)
E065,소학교 신축 분규·민회의원 집단사직,집단운동·대회,1906-05~1906-08,추정,O002;O071;O030;O038,,51-3;30-3,,회고록단독,오카모토 부임(1906.8~9) 전부터 분규·민회장 이하 평의원들이 부산 영사에 사표 제출·민회 사무 일시 중단 후 다도코로가 사무 재개·사카모토의 신문 공격으로 소학교 건축 지연 | [1-031 병합] 1906-05 신축 결의(예산 5000원)→대구일일신문 필진 공격으로 기부금 모집 불능→1906-08 의원 집단사직(개인 명단 없음); 민회 사무 일시 중지 후 다도코로가 잔무 처리,다도코로 유키에;사카모토 준;다도코로 유키에(민장·피공격·사표 취합); 이와세 시즈카(피공격),대구,시기내,,민단 제도화기(1906~07)
E066,황조요배전 건설·봉헌식,의례,1906-05~1906-11-03,본문서술,O046;O002,,42-2;53-4;13-3,『대구민단사』 pp.166~167,교차확인,미와 주선·기소 황실림 노송 불하·건축비 1500원 중 이와세 150원 기부·초대 신관 이와사키(쓰시마 출신) | [1-041 병합] 3500원 투자 건설(1906-05)·천장절(1906-11-03) 낙성 봉헌식; 개인 참여자 서술 없음,미와 조테쓰;이와세 시즈카;이와사키 다미야;(개인 미상),대구,시기내,,민단 제도화기(1906~07)
E067,대구구락부 소멸,조직개편,1906,본문서술,O049,,28-1,,회고록단독,본문 '다음 해까지 이어지다가 슬며시 없어졌다'; 거류민 내분 격화로 회원 발길 끊겨 자연 소멸(해산 서술),(개인 미상),대구,시기내,,민단 제도화기(1906~07)
E068,대구해륙물산주식회사로 개칭·영업 확장,조직개편,1906,본문서술,O013,,14-1~14-2,,회고록단독,상호 변경; 대구역 앞 생선 경매시장 신설·미두 위탁매매 개시; 가와이는 1년 미만 재직 후 사토 추천,가와이 아사오(영업주임 초빙); 사토 이사부로(후임 영업주임),대구,시기내,,민단 제도화기(1906~07)
E069,대구소학교 교장 교체,선거·임명,1906,본문서술,O038,,30-2,,회고록단독,본문 '1906년 봄' 아와타 이임·마에다 승계; 히와타시 부임 시기는 불명,아와타 에이지로(이임); 마에다 아쓰시(승계); 히와타시 세이에이(마에다 후임),대구,시기내,,민단 제도화기(1906~07)
E070,민장 반대·평의원 연쇄 사퇴와 보궐선거,선거·임명,1906,추정,O002,,42-2,,회고록단독,이와세·민장 영합에 대한 반감으로 평의원 연쇄 사퇴·매달 1회 보궐선거 진풍경(3~5표 당선)·회차별 정보 없어 연쇄 1건으로 기입·1906년 초 문맥,다도코로 유키에;이와세 시즈카;이나가키 시게미치;오키타 도시타로;니시모토 민조;아카호시 조조;류 고키치,대구,시기내,,민단 제도화기(1906~07)
E071,한국제연합자회사 설립,설립,1906,추정,O016,,42-3,,회고록단독,이때를 전후하여(기업 보조금 교부기) 설립·일본우선계 곤도 외 출자자 규합·1906년경 추정,오구라 다케노스케;곤도 렌페이,대구,시기내,,민단 제도화기(1906~07)
E072,기업전습소 설립,설립,1906,추정,O024,,42-3,,회고록단독,"후보 ""기업전습소·잠업전습소 설립"" 1건을 2건으로 분리 기입·보조금 교부기(그 무렵) 추정",후루쇼 모토사네,대구,시기내,,민단 제도화기(1906~07)
E073,잠업전습소 설립,설립,1906,추정,O025,,42-3,,회고록단독,"분리 기입·서상돈 후원으로 설립·이종국과 공동경영·""일찍이"" 서술로 1906년보다 이를 가능성 있음",시노하라 이마시로;서상돈;이종국,대구,시기내,,민단 제도화기(1906~07)
E074,법전사금채취소 습격·우시오카 피살,재난·사고,1906,추정,,,45-2,,회고록단독,안동군 폭도 오륙십 명 봉기·봉화군 법전사금채취소 습격·우시오카 살해·사무소 방화·저자의 경성행(1906.3 하순) 직후 서술로 1906년 추정,우시오카 라히사,경북관내,시기내,법전사금채취소,민단 제도화기(1906~07)
E075,대구농공은행 설립,설립,1906-06,본문서술,O009,,46-1;46-2,『대구민단사』 pp.126~127,교차확인,농공은행조례에 따라 자본금 30만원으로 설립·은행장 이석진·지배인 쓰치야·일본인 차명 주식 소유(이와세=서정돈 명의·가와이 10주),이석진;쓰치야 히코타로;이와세 시즈카;가와이 아사오,대구,시기내,,민단 제도화기(1906~07)
E076,대구수형조합 설립,설립,1906,추정,O011,,46-2,,회고록단독,"약속수형조례·수형조합조례에 의거 설립·""농공은행과 거의 같은 시기"" 서술로 1906년 추정·참여자 미상·융통어음 정리와 신화폐 유통 촉진 목적",,대구,시기내,,민단 제도화기(1906~07)
E077,소로카쿠 초대연,의례,1906,추정,,E063,47-2,,회고록단독,"대사 일행 도쿄 체류(약 1개월) 중 이토가 오이소 소로카쿠에 초대·박중양이 통역으로 이토의 눈에 듦·1906년 5월경 추정 | [J-12 잔류 2026-07-23] 대구·경북 인물(박중양) 직접 관련 — 이토와의 인연 계기으로 레지스트리 잔류, 지역구분 전국배경→전국-대구반응",이토 히로부미;이근호;박중양;야마가타(원수);가쓰라(대장),전국-대구반응,시기내,,민단 제도화기(1906~07)
E078,소학교 기부금 모집과 신축,집단운동·대회,1906~1907,본문서술,O004;O038,,53-1~53-2,,회고록단독,이와세 850원 솔선 기부·몸소 모집해 약 1만원 확보·동문 밖 부지 신축·1907.3 완공·학생 150명 내외·교장 마에다·실무 모리나가(원유형 모금·건축),이와세 시즈카;가게야마 히데키;오카모토 리헤;모리나가 소이치;마에다 오쓰시,대구,시기내,,민단 제도화기(1906~07)
E079,치도국 대구출장소 개설,설립,1906,본문서술,O083,,52-2,,회고록단독,1906년 말 개설·대구-경주-영일 간 35리 도로공사(치도 모범 제1기)·기사 나카기리·기수 하세가와 착임,나카기리 하루타로;하세가와 야소키치,대구,시기내,,민단 제도화기(1906~07)
E080,대구보통학교 개교,설립,1906,추정,O040,,52-3,,회고록단독,"초등교육 방침에 따른 지방 41개교의 하나로 개교·교장 엄성구·학감 교사 니시야마·기업공채 사업기(""이때에"") 서술로 1906년경 추정",엄성구;니시야마 유스케,대구,시기내,,민단 제도화기(1906~07)
E081,성벽파괴 불인가·박중양 비위조사 칙서(이토 통감 무마),중재·교섭,1906,추정,O074;O072,E098,55-2;57-1,,회고록단독,"착공 후 내부대신 앞 신청서 우송, 8일 만에 불인가 명령과 한국 황제의 비위조사 칙서. 이토 히로부미 개입으로 무마. 시기는 극비 착공(1906년 말 문맥) 직후로 판정. '이토 공'=이토 히로부미(병합맵 경칭 지정).",박중양(관찰사 서리);이토 히로부미(무마 개입),대구,시기내,,민단 제도화기(1906~07)
E082,대구시의소 조직(서상돈 '대구시장' 추대),설립,1906,본문서술,O006,,67-1,,회고록단독,"1906년 말 한국인 유지들이 조직한 사설 자치단체(거류민단에 대응). 교육 보급·걸인 구제·개간 강령, '대구시청' 간판. 1907년 6월까지 존속.",서상돈(대구시장 추대),대구,시기내,,민단 제도화기(1906~07)
E083,대구동인의원 건축·개원·낙성식,설립,1906~1907,본문서술,O047;O048,,67-2,,회고록단독,"1906년 가을 착공(후지나와가 자기 개업소에 문패를 걸고 사무 개시), 1907년 완공·이전 개업. 낙성식에 동아동인회(총재 오쿠마 시게노부)가 사토 스스무 파견.","후지나와 분준(주선·부원장);이케가미 시로(원장, 1907-03-12 착임);사토 스스무(낙성식 파견 군의총감);후쿠타케 쇼조(의원);스즈키 하치로(약제사);모쿠자키 야소하치(서무)",대구,시기내,,민단 제도화기(1906~07)
