org_id,표준조직명,한자표기,이명_전신_후신,조직유형,설립시기,개편시기,해산시기,근거절,보조출전,근거수준,비고
O012,제일은행 부산지점 대구출장소,第一銀行大邱出張所,후:대구지점,경제,1905-01,,,8-3;46-2;92-1,,회고록단독,주임 이즈미 스에지→지점장 다케카와 세이지(1908-01). 저자 기억으로는 1905-04경 설치
O013,대구수산주식회사,大邱水産株式會社,이명(개칭):대구해륙물산주식회사(1906),경제,1905가을,1906(상호 변경),,14-1~14-2;65-3,,회고록단독,자본금 3만원. 대구 최초의 일본인 주식회사. 이사장 나카무라 도시마쓰·지배인 도쿠라
O014,대구마쓰하코석유판매조합,大邱松函石油販賣組合,이명:대구석유판매조합,경제,1905-10말(결성 착수),,약 10년 후 해산,38-1;63-2;90-2,『대구민단사』 pp.30~31(존재 확인),회고록단독,"13개 상점 참여. 1907-01 석유창고(대구 최초 벽돌건물) 낙성. 민단사: 발전기 단체로 열거, 조합장 야스마쓰 구마키치. 결성연·마쓰하코 명칭 미기재"
O015,하주조합,荷主組合,,경제,1905경,,1년 미만 해산,29-1,,회고록단독,가와이 주도. 상점 20여 곳
O016,한국제연합자회사,韓國製莚合資會社,이명:한국제연회사,경제,1906경,,,42-3;109-2,,회고록단독,오구라 다케노스케가 출자자(곤도 렌페이 등) 모아 조직. 1909 소네 부통감 공장 시찰
O017,남한연초주식회사,南韓煙草株式會社,,경제,1907-06,,해산(결손 누적),66-1~66-2,,회고록단독,자본금 3만원. 사장 이와세·상무 후쿠치·지배인 모리모토
O018,연초경작조합,煙草耕作組合,,경제,1907-12,,,66-1,,회고록단독,탁지부에서 2만원 차입해 조합원 구제
O019,대구농회,大邱農會,,경제,1906~1907,,,53-3;65-3;71-1,『대구민단사』 pp.30~31(명칭만),회고록단독,회장 나카하라 후사이치·평의원 5명(스다 산페이 외). 민단사에 명칭만. 별도로 조선농회 경북지회 1909 발족 기록(관계 판정 필요 J-07)
O020,대구농산시장조합,大邱農産市場組合,,경제,1906~1907,,1907-02(대화재 소실),65-1~65-3,,회고록단독,농회 간부 주선·농업자 70여 명. 조합장 나카하라·서기 야마자키
O021,미나카이상점,三中井商店,,경제,1905이전,,,37-2;38-1,,회고록단독,경계 사례: 4개 점포 연맹·합자 조직 서술로 등재(나카에 고로헤 외 3명)
O022,삼맹상회,三盟商會,,경제,1904-09,,단명,43-2,,회고록단독,가미모리·나카이데·스즈키 3인 합자 약방
O023,부식원,富植園,,경제,1905-06경,,1907가을(실패),36-2,,회고록단독,야기 마쓰타로가 서상돈 설득해 설립. 약 1만원 투자
O024,기업전습소,機業傳習所,,경제,1906경,,,42-3,,회고록단독,후루쇼 모토사네 설립
O025,잠업전습소,蠶業傳習所,,경제,1906경,,,42-3,,회고록단독,시노하라 이마시로 설립(서상돈 후원·이종국 공동경영)
O026,동양척식주식회사 대구지점,東洋拓殖株式會社大邱支店,,경제,1909가을,,,100-2,,회고록단독,본사 창립총회 1908-12-28(대구에서 정재학·이병학·정해붕 출석). 지점 설치에 후지나와·오구라 등 진력
O027,익명조합(이와세·서상돈 등),匿名組合,,경제,1907경,,,79-5,,회고록단독,한일 합자. 자본금 10만원. 백동화 20만원 무이자 대부 수령(신화폐 보급)
O028,대구번영회,大邱繁榮會,,경제·공익,1909-03-04(조직 결의),,단명,107-2,,회고록단독,거류민대회 결의. 회칙기초위원 5명(마에카와·시라타·이토·미와·니시모토)
O029,국채보상회,國債報償會,,집단운동(한국인),1907,,,67-1,,회고록단독,시의소 주도. 단연·월 20전 갹출로 7만원 모금. 양 모 씨 유용으로 좌초
O030,대구실업신문,大邱實業新聞,이명:대구실업신보→대구신보(1906-01)→대구일일신문(1906-09/11) / 후신:O032,언론,1905-02-18(창간),1906-01(개제);1906-09-15(개제),1908-09(합병 조인),7-1;51-3;70-2;88-2,『대구민단사』 pp.194~195,교차확인,"창설 시모즈 사부로·마키노 슈. 경영 사카모토 준(1907-02 퇴한처분)→오키타 스테지로(1907-08-21 위임·1908-04 퇴한처분)→개혁파 8인 후원 체제. 창간일 충돌: 회고록 1905-02-18 vs 민단사 1905-03(판정목록 J-08). 계보(→신보→일일신문)는 민단사 일치. 민단사: 효시는 1901-06 달성주보. [판정 2026-07-22] 창간일 1905-02-18 확정(R-05 적용, 민단사 1905-03 병기)"
O031,대구신보사(1908),大邱新報社,후신:O032(합병),언론,1908(창간 계획),,1908-09-15(합병 조인),94-2;94-4;95-3;114-2,,회고록단독,이와세파 13명 출자·자본금 5천원·미발행. 1911-08-02 출자를 가와이에게 무상 양도
O032,대구신문,大邱新聞,전신:O030+O031 / 후신:조선민보,언론,1908-10-01(발행),1909-08-12(사장제 전환),,95-1;95-4;114-1,『대구민단사』 pp.194~195,교차확인,합병 신문. 지령 1천호 1909-07-20. 경영체는 O033(제호와 별개 레코드). 민단사: 1908-10-01 합병 확인. 조선민보 개칭은 1913-09
O033,대구신문사조합,大邱新聞社組合,,언론(경영조합),1908-10,,1909-08(사장제로 폐지),95-4;113-3,,회고록단독,이사 가토 이치로·가와이 아사오. 고문 기무라·사카이. 코딩북 1.2(제호↔발행체 구분) 적용
O034,신문 조선,朝鮮,,언론,1905-06경,,단명,27-1,,회고록단독,샤쿠오 슌조. 순간(旬刊)
O035,대구일보,大邱日報,,언론,1906-12경,,제2호로 발행중지,27-1,,회고록단독,샤쿠오 기획. 시노하라 회계·이나모토 경영
O036,달성학교,達城學校,후신:협성학교에 통합,교육,1899-07,,1909-04(통합),29-2;29-3;30-1;71-1,『대구민단사』 pp.106~107,교차확인,설립자 히자쓰키 마스키치. 교장 윤필오. 1907-12-29 화재 소실. 민단사: 1899-07 창립·교장 윤필오·1909-04 협성학교 합병 확인
O037,협성학교,協成學校,전신(통합):O036,교육,1909-04이전,,,30-1,『대구민단사』 pp.106~107,교차확인,달성학교 통합. 공자묘 부속 대강당으로 이전
O038,공립대구소학교,公立大邱小學校,이명:대구심상고등소학교,교육,1905-10-02(개교),1907-03(신축 이전),,30-2~30-3;72-2;108-1,『대구민단사』 pp.107~109,교차확인,1905-08 거류민회 설립 결의. 교장 아와타→마에다→히와타시. 1907-12 문부성 해외지정학교. 민단사 통계표 1905-10 개교(38명)·1907-03 완공 일치. 단 민단사 본문은 1905-12 수업 개시(교장 구리타 에자부로)로 서술 — 내부 차이
O039,일본어속성야학교,日本語速成夜學校,,교육,1903말,,병합 때까지,29-4,,회고록단독,정토종 포교소 내. 스토 시즈야→사토 겐쇼
O040,대구보통학교,大邱普通學校,,교육(한국인),1906경,,,52-3;71-1,,회고록단독,교장 엄성구·학감 니시야마
O041,수창학교,壽昌學校,,교육(한국인 사립),,,,106-1,,회고록단독,학생 30여 명. 순행 시 철로 시위 계획 일화
O042,대구유치원,大邱幼稚園,,교육,1907-04,,휴원 후 재흥,72-2;79-3;97-1,『대구민단사』 p.110,교차확인,"대구부인회 계획으로 설립. 니시키좌 연예회 모금(449원)으로 재흥. 민단사: 1907-04 창립(부인회 계획→민단 승계), 1908-12 재흥, 1910-05 신축 개원"
O043,정토종 대구포교소,淨土宗大邱布敎所,이명:광명사(光明寺),교육·종교,1903이전,1907(팔운정 이전·교사 신축),,29-4;62-1;48-1;105-3,,회고록단독,"[J-02 판정 2026-07-23 ①동일] 광명사와 동일 실체로 병합(사용자 판정). 29-4(서문 내→1907 팔운정 이전·교사 신축), 48-1('달성공원 아래 정토종 광명사' — 1903 우편소 위치 서술), 105-3(순행 경로 '대화정에서 정토종 광명사 앞' — 어행정 명명 유래). 위치 서술 상이는 1907년 이전(移轉) 전후 차이로 정리"
O044,니시혼간지 출장소,西本願寺出張所,이명:혼파혼간지·대화정 혼간지 포교소,교육·종교,,,,5-1;71-1;98-1,,회고록단독,"[J-03 판정 2026-07-23 ①동일] 대화정 혼간지 포교소(98-1, 1908 제2회 민회의원 선거 투표장소)와 동일 실체로 병합(사용자 판정). 5-1(1905 추도회 법사)·71-1(혼파 혼간지, 후카와 고테쓰)"
O045,대구신사,大邱神社,,교육·종교,,,,40-1;40-2,『대구민단사』 pp.169~170(참고),회고록단독,"갑진회 도리이·석조 울타리 봉납(1928). 민단사에도 별도 신사 창립 연대 없음. 요배전이 민단 신사로 기능, 1914 요배전 신축 계획 기록"
O046,황조요배전,皇祖遙拜殿,이명:천조황대신궁 요배전,교육·종교,1906-11-03(봉헌식),,,13-3;53-4;68-2,『대구민단사』 pp.166~167,교차확인,미와 조테쓰 주선. 재류민 갹출(1500~1700여 원). 초대 신관 이와사키 다미야. 민단사: 1906-05 설계·10-01 기공·11-03 낙성식. 건축위원장 오카모토 리헤·회계위원 이와세. 건축비 2천여 원(회고록 1500~1700원과 차이). 민단 신사 기능(우지코소다이 선출)
O047,대구동인의원,大邱同仁醫院,후신:대구자혜의원(1910 총독부 매수),공익(의료),1907(완공·개원),,1910(매수),67-2~67-3,『대구민단사』 p.34(존재 확인),회고록단독,동아동인회 경영. 원장 이케가미 시로·부원장 후지나와. 민단사: 1909-01 순행 하사금 500원 수령 기관으로만 등장
O048,동아동인회,東亞同仁會,,공익(의료),,,,67-2,,회고록단독,총재 오쿠마 시게노부. 도쿄 소재이나 동인의원 경영주체로 등재
O049,대구구락부,大邱俱樂部,,동향·친목,1905-07하순(발회식),,1906(자연 소멸),28-1,,회고록단독,마키노·히자쓰키·다도코로 등 주도. 약 40명
O050,현인회(후쿠오카),福岡縣人會,,동향·친목,1907-02,,,63-3,,회고록단독,마스다 도라타 주선. 회원 약 80명. 제1회는 마쓰시타 환영회 겸
O051,팔조회,八助會,,동향·친목,1913-02,,,39-2;63-2,,회고록단독,분석시기(1903~10) 외 결성 — 1904년 팔조령 월경 이주자 친목회(판정목록 J-04)
O052,갑진회,甲辰會,,동향·친목,1928-02,,,40-1~40-2,,회고록단독,분석시기 외 결성. 회원 77명·회장 나카에 고로헤·간사 6명(가와이 포함)(판정목록 J-04)
O053,당구구락부,撞球俱樂部,,동향·친목,1905,,,68-1,,회고록단독,마치다·쓰지·시모조 등 회원제
O054,대구부인회,大邱婦人會,,동향·친목,1907이전,,,79-3;111-3,,회고록단독,유치원 설립 주체. 군대 위문활동
O055,애국부인회 대구지부,愛國婦人會大邱支部,,공익,1907-03,,,72-3;110-3;111-3,『대구민단사』 p.176 부근,교차확인,"적십자 지부와 동시 창립. 창립 시기 충돌(판정목록 J-10): 코딩북 2.4에 따라 관찬 우선 잠정 기재. [판정 2026-07-22] 1907-03(민단사) 확정, 회고록 1906-12 병기"
O056,일본적십자사 한국특별위원부 대구지부,日本赤十字社韓國特別委員部大邱支部,,공익,1906-12,,,72-3,『대구민단사』 p.174,교차확인,위원장 나카오지·부위원장 오카모토·가게야마. 회원 30명. 협찬위원 20명(1907-02). 민단사: 1906-12 창립(민단 설치 다음 달)·1907-01 위원장 나카오지 일치
O057,서문내외 청년단,西門內外靑年團,,동향·친목,1909-03이전,,,106-3;106-3,,회고록단독,1909-03 음악대 조직(악장 시로타 신스케). '대구부시' 노래 제작
O058,공민회,公民會,,정치결사,1907말~1908초,,,86-2~86-3;92-1,,회고록단독,가토·아오키·미와·이노우에 발기. 니시키좌 발회식. 대항 '개혁파'는 무정형 파벌로 미등재(코딩북 1.1)
O059,대구서부소방조,大邱西部消防組,후신:O061,위생·소방·공익,1905-09(설비 완비),1906-01-04(시무식·임원 확정),1907-03(합병),35-2,『대구민단사』 p.278(존재 확인만),회고록단독,발기 6개 상점. 기부금 2백원. 조장 스즈키 히사지로. 민단사에 창설·합병 연혁 없음(대구소방조 소재지: 경찰서 내)
O060,동부소방조,東部消防組,후신:O061,위생·소방·공익,1906경,,1907-03(합병),35-2,,회고록단독,서부 결성 이후 조직
O061,대구소방조,大邱消防組,전신:O059+O060,위생·소방·공익,1907-03,,,35-2;100-1,『대구민단사』 p.278(존재 확인만),회고록단독,서부의 민단 기부 신청 수리로 동서 합병. 조두 오카다 기하치. 민단사에 합병 연혁 미기재
O062,달성공원기성회,達城公園期成會,,공익(기성회),1907-03,,1908-04-20(회원모집 중지·해산 국면),68-1~68-3;92-2;13-3,『대구민단사』 pp.167~169,교차확인,회장 이와세·부회장 서병오(한일 합동). 복권 발행 11회. 약 6만 그루 식목. 서기장 이노우에 부정으로 이사관 해산 명령. 민단사: 1907 조직·회두 이와세·부회두 서병오 확인. 1907-08-01 상업회의소에 사무소 병치·1907-12 임원 증원. 월(3월)·해산은 미기재
O063,대구위생회,大邱衛生會,,위생·소방·공익,1911-08,,,79-2,,회고록단독,분석시기 외 결성(판정목록 J-04). 회장 이진호·평의원 36명
O064,대구청결조합,大邱淸潔組合,,위생·소방·공익,1911,,,79-2,,회고록단독,분석시기 외 결성(판정목록 J-04). 위생회 실행기관
O065,임시일본인대회,臨時日本人大會,,임시조직,1905-04,,1905-04말,7-1~7-3,,회고록단독,이용익 배척운동 기구. 발기인 27명. 사무소 설치. 1905-04-28 달성관 대회
O066,쇄신회,刷新會,,임시조직,1905-08,,,24-1~25-1,,회고록단독,오키타 스테지로 주도. 선언서 1천장 배포. 보궐선거 후보 4명 추천
O067,자경단,自警團,,임시조직,1907-08,,,77-1,,회고록단독,군대해산기 일본인 경계 조직
O068,순행 봉영·접대위원회,,,임시조직,1909-01,,1909-01,101-1~101-3;103-1,,회고록단독,위원장 쓰네요시 소장·부위원장 박중양 관찰사·히사미즈 이사관. 위원부 16개
O069,신구부대 환송영회 위원회,,,임시조직,1909-06,,1909-06,111-1~111-2,,회고록단독,민단 소집. 위원 28명. 발기인 관공서·단체 26곳
O070,공소원 부지선정위원회,,,임시조직,1908,,,94-3;96-1,,회고록단독,위원 4명(시부사와 슈조·오구라·후지나와·사키사카)
O071,부산영사관,釜山領事館,,기관(관청),,,1906(이사청 체제로),2-1;3-2;25-2;43-3,,회고록단독,거류민회 인가·선거 소원 관할. 영사 아리요시 아키라
O072,통감부,統監府,,기관(관청),1905-12-20(칙령)~1906-03-28(개청식),,,8-1;37-1;44-1,,회고록단독,대구 소재 아님(관할 기관으로 등재). 통감 이토→소네(1909-06-15)
O073,대구이사청,大邱理事廳,,기관(관청),1906-08(공포)·1906-09-15(개청식),1908(청사 동문 밖 신축)·1909(신청사),1910-08-29(병합으로 폐지),51-1~51-2;108-2;107-2,『대구민단사』 p.24,교차확인,부이사관 오카모토 리헤. 이사관 나카오지→우지노→히사미즈→노세. 폐지 후 대구부청. 민단사: 1906-09-15 개청식 확인
O074,경상북도관찰부,慶尙北道觀察府,이명:관찰도·선화당,기관(관청),,,,8-3;49-1~49-3;33-1,,회고록단독,관찰사 계보(장승원·이윤용·이용익·신태휴·한진창·이충구·박중양 등) 서술
O075,대구군아,大邱郡衙,,기관(관청),,,,8-3;71-1,,회고록단독,군수 박중양(1906-07 겸 관찰사 서리)
O076,경북경무서,慶北警務署,,기관(관청·한국),,,,8-3;71-1,,회고록단독,경무관 박준효. 구한국 관제(중영→경무서 개편)
O077,대구경찰서,大邱警察署,전신:경찰관 출장소·이사청경찰서,기관(관청),,1907-11-11(이사청경찰서 폐지·일원화),,2-1;71-1;40-3,,회고록단독,서장 아리마 고코→오하타 조
O078,경무고문지부,警務顧問支部,,기관(관청),,,,71-1;71-1;73-5,,회고록단독,경시 이다 아키라→나가타니 다카시(1907-05). 경관대 조직·폭도 토벌
O079,대구재무감독국,大邱財務監督局,전신:재정고문지부,기관(관청),1907(재무감찰관 신설),,,71-1;79-4,,회고록단독,국장 가와카미 쓰네오. 경남북 재무 감독·화폐정리
O080,대구우편국,大邱郵便局,전신:부산우편국 대구우편소(1903-11-01)→대구출장소(1904-12-15),기관(관청),1903-11-01(우편소),1905-10-21(우편국 승격)·1906-06-28(신축 이전),,48-1~48-2,『대구민단사』 pp.197~198·p.26,교차확인,소장 오쿠보 하지메→야기 다쓰마. 1905-05-23 한국 우체사·전신사 통일. 민단사: 1903-11-01 부산우편국 대구수취소 설치→1905 출장소→1906-06 우편국 승격. 승격 시기 회고록(1905-10-21)과 차이 있음 — 비고 기록
O081,서문우편소,西門郵便所,,기관(관청),,,,71-1,,회고록단독,히로우치 시게키치
O082,대구역,大邱驛,,기관(철도),1905-01-01(경부선 영업 개시),,,8-2;71-1,,회고록단독,역장 오카무라 마사오(1907-04 초량 전임)
O083,치도국 대구출장소,治道局大邱出張所,,기관(관청),1906말,,,52-2;71-1,,회고록단독,기사 나카기리 하루타로
O084,양지과 대구출장소,量地課大邱出張所,,기관(관청),1906경,,,52-2;71-1,,회고록단독,탁지부 내 설치. 기사 나카타 사부로
O085,대구측후소,大邱測候所,,기관(관청),1907-02-01(칙령 제7호),,,72-1,,회고록단독,초대 소장 하치야 겐→후쿠타 가쿠헤이
O086,대구재판소(공소원·지방재판소·구재판소),大邱控訴院·大邱地方裁判所·大邱區裁判所,,기관(관청),1908-08-01(개청식),,,93-1;63-3,,회고록단독,공소원장 도이 요타로·검사장 구로카와·지방재판소장 도리야마(→마쓰시타). 판사 7명·검사 3명
O087,전매국 대구공장,專賣局大邱工場,,기관(관청),,,,66-1;66-2,,회고록단독,동아연초 사업 매수. 조선 최초의 전매국 공장
O088,대구임업묘포,大邱林業苗圃,,기관(관청),1907경,,,73-2,,회고록단독,농상공부 직영. 주임 모리타 로쿠오
O089,면화시작장,棉花試作場,,기관(관청),1906경,,,65-5,,회고록단독,혼다 고스케 박사 시찰 결과 설치
O090,대구감옥,大邱監獄,,기관(관청),,,,109-2,,회고록단독,소네 부통감 순시 대상으로 언급
O091,대구수비대,大邱守備隊,,기관(군),,,,7-3;13-2;71-1;41-2,,회고록단독,수비대장 히타카 사이지 대위→야마다 중위→아카쿠라 중위
O092,헌병대,憲兵隊,,기관(군),,,,14-1;49-3,,회고록단독,달성산 입구 부근. 마유미 다다시(1903말 헌병)
O093,진위대 제3대대,鎭衛隊第三大隊,이명:대구진위대,기관(군·한국),,,1907-08-04(해산식),8-3;71-1;77-1~77-2,,회고록단독,병력 약 500명. 대장 참령 양재훈
O094,히메지 보병 제51연대,姬路步兵第五十一聯隊,,기관(군),1907-04(주둔),,1907-08경(약 4개월),73-1;73-6,,회고록단독,남한 수비
O095,보병 제12여단 사령부,步兵第十二旅團司令部,,기관(군),1907-08(설치),,1909-06(귀환),73-6;111-3,,회고록단독,사령관 요다 히로타로→쓰네요시 다다미치
O096,보병 제14연대,步兵第十四聯隊,,기관(군),1907가을(주차),,1909-06(귀환),73-6;110-3,,회고록단독,연대장 기쿠치 슈덴. 1909-05-28 충혼제
O097,임시한국파견대,臨時韓國派遣隊,,기관(군),1909-05~06,,,74-0;111-1,,회고록단독,사령관 와타나베 스이사이 소장(1909-06-02 착임). 제2연대 본부 대구 설치
O098,김천일본인회,,,행정·자치(관내),,,,108-2,,회고록단독,[J-05 판정 2026-07-22] 경북 관내 규칙에 따라 등재. 이사청 관내 일본인회 7곳 집합 언급이 근거(개별 활동 서술 없음). 안동·선산은 설치 논의 불인가
O099,영동일본인회,,,행정·자치(관내),,,,108-2,,회고록단독,[J-05 판정 2026-07-22] 경북 관내 규칙에 따라 등재. 이사청 관내 일본인회 7곳 집합 언급이 근거(개별 활동 서술 없음). 안동·선산은 설치 논의 불인가
O100,경산일본인회,,,행정·자치(관내),,,,108-2,,회고록단독,[J-05 판정 2026-07-22] 경북 관내 규칙에 따라 등재. 이사청 관내 일본인회 7곳 집합 언급이 근거(개별 활동 서술 없음). 안동·선산은 설치 논의 불인가
O101,영천일본인회,,,행정·자치(관내),,,,108-2,,회고록단독,[J-05 판정 2026-07-22] 경북 관내 규칙에 따라 등재. 이사청 관내 일본인회 7곳 집합 언급이 근거(개별 활동 서술 없음). 안동·선산은 설치 논의 불인가
O102,경주일본인회,,,행정·자치(관내),,,,108-2,,회고록단독,[J-05 판정 2026-07-22] 경북 관내 규칙에 따라 등재. 이사청 관내 일본인회 7곳 집합 언급이 근거(개별 활동 서술 없음). 안동·선산은 설치 논의 불인가
O103,청도일본인회,,,행정·자치(관내),,,,108-2,,회고록단독,[J-05 판정 2026-07-22] 경북 관내 규칙에 따라 등재. 이사청 관내 일본인회 7곳 집합 언급이 근거(개별 활동 서술 없음). 안동·선산은 설치 논의 불인가
O104,상주일본인회,,,행정·자치(관내),,,,108-2,,회고록단독,[J-05 판정 2026-07-22] 경북 관내 규칙에 따라 등재. 이사청 관내 일본인회 7곳 집합 언급이 근거(개별 활동 서술 없음). 안동·선산은 설치 논의 불인가
O105,한국흥업주식회사 경산지점,韓國興業株式會社慶山支店,,경제,,,,108-2,,회고록단독,[J-05] 제일은행 계열. 지점장 호리케 도라조
O106,한국식산주식회사,韓國殖産株式會社,,경제,,,,108-2,,회고록단독,[J-05] 경산 소재. 도조 쇼헤이 경영
O107,부산이사청,釜山理事廳,,기관(관청),,,,108-2;110-3,,회고록단독,[J-05] 경남 소재이나 경북 포항 관할·충혼제 참례(이사관 가메야마 리헤타로) 활동으로 등재
O108,도미시마구미,富島組,,경제,,,,12-3,,회고록단독,[J-06 판정 2026-07-22] 등재. 북문 밖 운송점. 주임 나가이 고타로·직원 나카가와 다헤이 등 조직 구조 서술
O109,니시키좌,錦座,,경제(극장),1907-04(영업 개시),,,64-4,,회고록단독,[J-06] 등재. 나카무라 기이치 경영. 1919년까지 대구 유일의 민중 오락장. 공민회 발회식·연설회·유치원 연예회 장소
O110,대구권상장,大邱勸商場,,경제,1907-03경,,1911경(철거),72-1,,회고록단독,[J-06] 등재. 부근민이 무진계(無盡講)를 조직해 공동 출자로 설립. 사무원 니시야마 쓰루키치. 위층 요세는 연설회장
O111,경부철도주식회사,京釜鐵道株式會社,,경제,1901이전,,1906(통감부 철도관리국 체제로),2-1;4-3;8-1;46-1,,회고록단독,[R-06 ③ 관내 활동] 본사 외지이나 경부선 부설·대구역 운영·달성학교 기부(1901~) 등 관내 활동으로 등재. 이사 겸 회장 시부사와 에이이치
O112,탈곡기배포사무국,脫穀機配布事務局,,기관(관청),1904,,,32-2~32-3;33-1,,회고록단독,[R-06 ③ 관내 활동] 경성 소재 임시관청. 사변사(쓰지 소노지로)의 대구 관찰도 등청·강제징수 활동 서술로 등재 | [2026-07-23 정정] 근거절 33-1~33-3은 무효 범위(33장은 2절 구성) — 사변사 서술 구간 32-2~32-3;33-1로 정정
O113,대구일본인회,大邱日本人會,이명:일본인회 / 후신:O002(거류민회로 개칭),행정·자치,1900-11,,1904경(거류민회 개칭·날짜 불명),5-1,『대구민단사』 pp.21~22,교차확인,"[J-07 판정 2026-07-23 ②등재] 민단사: 1900-11 부산영사관 서기생 다부치 쇼헤 종용으로 창립, 회장 히자쓰키 마스키치, 회원 10여 명 — '거류민단의 맹아'. 본문 5-1: 1905-01-05 여순함락 전승축하회 주최 '대구일본인회'·부회장 도쿠라 소로쿠·'일본인회를 거류민회로 개칭한 것 같은데 기록이 없어 날짜 불명' 서술. 민단사 계보(일본인회→동포회(O001)→대일본인거류민회(O002))와 본문 서술(일본인회→거류민회 직접 개칭)의 상이는 미해소 — 후신은 O002로 연결. 달성주보(1901-06)·조선농회 경북지회(1909)·대구곡물상조합은 민단사 단독으로 제외 확정(판정례 R-10)"
