record_id,인물,org_id,구분,직위,원표기,시간구간,근거절,보조출전,근거수준,보조사료대조,교차확인비고,비고,시기구획,직무분류,기관계열
OH0017,히자쓰키 마스키치,O001,직위,발기인,발기인,1904,43-3,,대구물어 단독 전거,미확인,,1904-06 설립 취지서 발기인 명단,민회기(1903~05),10 발기인,행정·자치
OH0018,가미야 도요나리,O002,직위,평의원·의원,평의원,1904~,3-2;4-1,『대구민단사』,보조사료 대조 확인,확인,,,민회기(1903~05),2 의결직,행정·자치
OH0019,가와시마 규에몬,O002,직위,평의원·의원,평의원,1904~,3-2,,대구물어 단독 전거,미확인,,,민회기(1903~05),2 의결직,행정·자치
OH0020,가와이 아사오,O002,직위,평의원·의원,평의원(차점 당선),1905,26-2,『대구민단사』,보조사료 대조 확인,확인,,도쿠라 사퇴로 당선·인두세 폐지 관철,민회기(1903~05),2 의결직,행정·자치
OH0021,고다마 이타로,O002,직위,평의원·의원,평의원 당선(고타마 이타로),1905,25-1,,대구물어 단독 전거,미확인,,병합맵 적용·27표 당선,민회기(1903~05),2 의결직,행정·자치
OH0022,니시모토 민조,O002,직위,평의원·의원,평의원,1906,42-2,,대구물어 단독 전거,미확인,,보궐선거로 정원 충원 국면에 등장한 평의원,민단 제도화기(1906~07),2 의결직,행정·자치
OH0023,다도코로 유키에,O002,직위,기타,민장,1905~,5-1;13-3;24-2;25-1;30-3;42-2;51-1;51-3,『대구민단사』,보조사료 대조 확인,확인,,1905-05 당선·사무 쇄신 | 1906-08 의원 집단사직 후에도 후임 결정까지 사무 처리 명령; 원표기 민장,민회기(1903~05),1 대표직,행정·자치
OH0024,도쿠라 소로쿠,O002,직위,부회장,일본인회 부회장,1905,5-1;13-2,『대구민단사』,보조사료 대조 확인,확인,,일본인회(O113)→거류민회 개칭 과도기,민회기(1903~05),1 대표직,행정·자치
OH0025,도쿠라 소로쿠,O002,직위,평의원·의원,평의원,1904~,3-2;25-1;26-2,『대구민단사』,보조사료 대조 확인,확인,,당선 직후 사퇴(가와이에게 양보),민회기(1903~05),2 의결직,행정·자치
OH0026,도쿠라 소로쿠,O002,직위,회장대리,회장대리,1905,5-1,『대구민단사』,보조사료 대조 확인,확인,,도쿠히사 사임 후 추대·얼마 후 사임,민회기(1903~05),1 대표직,행정·자치
OH0027,도쿠히사 요네조,O002,직위,회장,민회장,1904~1905,3-2;5-1;26-1,『대구민단사』,보조사료 대조 확인,확인,,1905년 초 이전 사퇴,민회기(1903~05),1 대표직,행정·자치
OH0028,류 고키치,O002,직위,평의원·의원,평의원,1906,42-2,,대구물어 단독 전거,미확인,,보궐선거로 정원 충원 국면에 등장한 평의원,민단 제도화기(1906~07),2 의결직,행정·자치
OH0029,마스다 도라타,O002,직위,평의원·의원,평의원,1904~,3-2;4-1;12-3,『대구민단사』,보조사료 대조 확인,확인,,대구 유일의 논객으로 회고,민회기(1903~05),2 의결직,행정·자치
OH0030,마유미 다다시,O002,직위,평의원·의원,평의원,1904~,3-2;4-1,『대구민단사』,보조사료 대조 확인,확인,,,민회기(1903~05),2 의결직,행정·자치
OH0031,모리나가 소이치,O002,직위,평의원·의원,평의원,1904~,3-2;4-1,『대구민단사』,보조사료 대조 확인,확인,,,민회기(1903~05),2 의결직,행정·자치
OH0032,미와 조테쓰,O002,직위,평의원·의원,평의원,1904~,3-2,『대구민단사』,보조사료 대조 확인,확인,,,민회기(1903~05),2 의결직,행정·자치
OH0033,사카이 만지로,O002,직위,평의원·의원,민회의원,1906,35-1,『대구민단사』,보조사료 대조 확인,확인,,최초의 민회의원; 후지이에서 개명,민단 제도화기(1906~07),2 의결직,행정·자치
OH0034,스다 산페이,O002,직위,평의원·의원,평의원,1904~,3-2,『대구민단사』,보조사료 대조 확인,확인,,,민회기(1903~05),2 의결직,행정·자치
OH0035,스즈키 히사지로,O002,직위,평의원·의원,평의원,1904~,3-2,,대구물어 단독 전거,미확인,,,민회기(1903~05),2 의결직,행정·자치
OH0036,시라타 신스케,O002,직위,평의원·의원,평의원,1904~,3-2;4-1,『대구민단사』,보조사료 대조 확인,확인,,당시 29세,민회기(1903~05),2 의결직,행정·자치
OH0037,시모다 고키치,O002,직위,평의원·의원,평의원,1904~,3-2,『대구민단사』,보조사료 대조 확인,확인,,,민회기(1903~05),2 의결직,행정·자치
OH0038,쓰지 소노지로,O002,직위,평의원·의원,평의원,1904~,3-2;4-1,,대구물어 단독 전거,미확인,,당시 22세,민회기(1903~05),2 의결직,행정·자치
OH0039,아카호시 조조,O002,직위,평의원·의원,평의원,1906,42-2,,대구물어 단독 전거,미확인,,보궐선거로 정원 충원 국면에 등장한 평의원,민단 제도화기(1906~07),2 의결직,행정·자치
OH0040,오구라 다케노스케,O002,직위,평의원·의원,평의원 당선,1905,24-3;25-1,『대구민단사』,보조사료 대조 확인,확인,,보궐선거 최다 득표(48표),민회기(1903~05),2 의결직,행정·자치
OH0041,오카다 기하치,O002,직위,평의원·의원,평의원(오카다 지로),1904~,3-2;4-2,,대구물어 단독 전거,미확인,,병합맵 적용(오카다 지로→오카다 기하치),민회기(1903~05),2 의결직,행정·자치
OH0042,오쿠보 하지메,O002,직위,평의원·의원,평의원,1904~,3-2,,대구물어 단독 전거,미확인,,,민회기(1903~05),2 의결직,행정·자치
OH0043,오키타 도시타로,O002,직위,의장,의장,1906,25-2,,대구물어 단독 전거,미확인,,,민단 제도화기(1906~07),1 대표직,행정·자치
OH0044,오키타 도시타로,O002,직위,평의원·의원,평의원,1906,42-2,,대구물어 단독 전거,미확인,,보궐선거로 정원 충원 국면에 등장한 평의원,민단 제도화기(1906~07),2 의결직,행정·자치
OH0045,요시키 도시조,O002,직위,평의원·의원,평의원,1904~,3-2,『대구민단사』,보조사료 대조 확인,확인,,,민회기(1903~05),2 의결직,행정·자치
OH0046,우치다 로쿠로,O002,직위,평의원·의원,평의원,1904~,3-2;4-1,,대구물어 단독 전거,미확인,,당시 26세,민회기(1903~05),2 의결직,행정·자치
OH0047,이나가키 시게미치,O002,직위,평의원·의원,평의원,1906,42-2,,대구물어 단독 전거,미확인,,보궐선거로 정원 충원 국면에 등장한 평의원,민단 제도화기(1906~07),2 의결직,행정·자치
OH0048,이노 히데스케,O002,직위,부회장,부회장,1904~,3-2;4-1,『대구민단사』,보조사료 대조 확인,확인,,당시 24세,민회기(1903~05),1 대표직,행정·자치
OH0049,이노우에 쓰네나오,O002,직위,의장,의장,1904~,3-2;4-1,『대구민단사』,보조사료 대조 확인,확인,,당시 56세,민회기(1903~05),1 대표직,행정·자치
OH0050,하타모토 기헤이,O002,직위,기타,민회 서기(수석 서기),1904~,25-2;26-1,『대구민단사』,보조사료 대조 확인,확인,,1904-10 도쿠히사 회장 초빙으로 취임,민회기(1903~05),3 집행간부·사무회계직,행정·자치
OH0051,히자쓰키 마스키치,O002,직위,평의원·의원,평의원 당선,1905,25-1,,대구물어 단독 전거,미확인,,,민회기(1903~05),2 의결직,행정·자치
OH0052,가게야마 히데키,O003,직위,기타,대리민장,1906,55-3;56-2;56-3;59-2;71-1;84-3;91-2;85-3,『대구민단사』,보조사료 대조 확인,확인,,도로위원회 규정 제정·위원 12명 위촉 | 1906-12-24 당선·1907-12 민회 불신임으로 퇴진(60-4) | 1907-12-15 사임(86-2)·불신임안 제출(85-3) | 와타나베 이전의 민장으로 언급 | 불신임 결의로 사표 제출·1907년 말 17일 대구 떠남; 1908 재선 시도는 불발,민단 제도화기(1906~07),1 대표직,행정·자치
OH0053,가게야마 히데키,O003,직위,회장대리,대리민장,1906-11~,53-3,『대구민단사』,보조사료 대조 확인,확인,,1906-11-01 민단법 실시일 이사관 직권 임명,민단 제도화기(1906~07),1 대표직,행정·자치
OH0054,가와이 아사오,O003,직위,평의원·의원,민회의원,1906,59-1;82-4;87-2;86-4;87-4,『대구민단사』,보조사료 대조 확인,확인,,반대파 유일 당선·7일 만인 12-27 사퇴(60-3) | '나'=저자 — 1906-12-27 사임 | 1908-02 보궐선거 후 의석 명단(재취임) | 1908-02-05 당선; 민장선거 긴급동의 제안,민단 제도화기(1906~07),2 의결직,행정·자치
OH0055,가토 이치로,O003,직위,평의원·의원,의원,1908~1910,99-1,『대구민단사』,보조사료 대조 확인,확인,,1908-12-21 정기선거 당선,확장기(1908~10),2 의결직,행정·자치
OH0056,고우라 도노마루,O003,직위,기타,구장(제6구 대표),1907~,79-1,,대구물어 단독 전거,미확인,,본문표기 고라 도노마루(高羅殿丸),민단 제도화기(1906~07),1 대표직,행정·자치
OH0057,구로카와 엔지,O003,직위,평의원·의원,의원,1908~1910,99-1,『대구민단사』,보조사료 대조 확인,확인,,1908-12-21 정기선거 당선,확장기(1908~10),2 의결직,행정·자치
OH0058,기도 다다지로,O003,직위,평의원·의원,민회의원,1906~1907,59-1;71-1;82-4;85-3,『대구민단사』,보조사료 대조 확인,확인,,1907-12-16 사임 | 조금 늦은 19일 사임,민단 제도화기(1906~07),2 의결직,행정·자치
OH0059,기무라 다케타로,O003,직위,기타,구장(제1구 대표),1907~,79-1,,대구물어 단독 전거,미확인,구장 직위는 민단사 미기재로 재판정(사용자 확인 2026-07-27). 근거절 79-1 구장 13건 전부 미확인,구제 실시 13구 명부,민단 제도화기(1906~07),1 대표직,행정·자치
OH0060,기쿠치,O003,직위,기타,민장,1911,79-2,『대구민단사』,보조사료 대조 확인,확인,기쿠치 겐조와 동일인물. 민장과 거류민단장 동일 호칭,성만 표기 — 동정 불확실(기쿠치 겐조 가능성 있으나 미확정),시기외,1 대표직,행정·자치
OH0061,기쿠치 겐조,O003,직위,기타,거류민단장,,45-1;90-3,『대구민단사』,보조사료 대조 확인,확인,,후일 취임 | 후일 민장(1913 세제개정안 공표 무렵); 원문 표기 기쿠치 겐조(菊池謙譲),,1 대표직,행정·자치
OH0062,나카에 고로헤이,O003,직위,의장,의장,1906~,59-2;82-4,『대구민단사』,보조사료 대조 확인,확인,,제1회 민회에서 9표로 당선 | 1907-10-28 사임,민단 제도화기(1906~07),1 대표직,행정·자치
OH0063,나카에 고로헤이,O003,직위,평의원·의원,민회의원,1906~1907,59-1;71-1,『대구민단사』,보조사료 대조 확인,확인,,,민단 제도화기(1906~07),2 의결직,행정·자치
OH0064,나카자와 덴노스케,O003,직위,평의원·의원,민회의원,1906,59-1;82-4,,대구물어 단독 전거,미확인,,1906-12-27 이와세·가와이와 동반 사퇴(60-3) | 1906-12-27 사임,민단 제도화기(1906~07),2 의결직,행정·자치
OH0065,니시모토 민조,O003,직위,평의원·의원,민회의원,1906,59-1;82-4,,대구물어 단독 전거,미확인,,당선 수락 거부·직후 사퇴,민단 제도화기(1906~07),2 의결직,행정·자치
OH0066,니시자와 사토루,O003,직위,기타,구장(제9구 대표),1907~,79-1,,대구물어 단독 전거,미확인,,본문표기 니시자와 사토시(西澤智),민단 제도화기(1906~07),1 대표직,행정·자치
OH0067,니시자와 사토루,O003,직위,평의원·의원,민회의원,1908~,87-2;89-3;86-4,『대구민단사』,보조사료 대조 확인,확인,,1908-02 보궐선거 후 의석 명단 | 소명요구서 기안자 | 1908-02-05 보궐선거 당선; 소명요구서 기안자,확장기(1908~10),2 의결직,행정·자치
OH0068,도쿠라,O003,직위,기타,조역,1907~1908,86-1,『대구민단사』,보조사료 대조 확인,확인,도쿠라 소로쿠와 동일인,성만 표기 — 도쿠라 소로쿠/도쿠라 기이치 중 미상·사표 보류 후 1908-02 예산편성(87-1),민단 제도화기(1906~07),1 대표직,행정·자치
OH0069,도쿠라 소로쿠,O003,직위,기타,대리조역 겸 회계,1906-11~,53-3;59-2;71-1;108-4,『대구민단사』,보조사료 대조 확인,확인,,1906-02 민단성립부터 재임; 1909-03-27 사임 승인·위로금 230원,민단 제도화기(1906~07),1 대표직,행정·자치
OH0070,마스다 도라타,O003,직위,기타,구장(제12구 대표),1907~,79-1,,대구물어 단독 전거,미확인,,,민단 제도화기(1906~07),1 대표직,행정·자치
OH0071,마스다 도라타,O003,직위,의장,민회의장,1908~1910,12-3;99-2,『대구민단사』,보조사료 대조 확인,확인,민단사와 대구물어의 인본인 인명 표기방식이 다름. 한자로 동일인 판결,"훗날 역임(시기 본문 미상) | 9표로 당선, 오구라와 1년 교대 합의였으나 2년 임기 완수",확장기(1908~10),1 대표직,행정·자치
OH0072,마스다 도라타,O003,직위,평의원·의원,민회의원,1906~1907,59-1;71-1;82-4;89-3;99-1;88-5,『대구민단사』,보조사료 대조 확인,확인,,초기 당선자 중 임기 완수 | 소명요구서 제안·기안자(본문 표기 마스다) | 1908-12-21 정기선거 당선 | 민장불인가 문제 소론 3회; 소명요구서 제안·기안,민단 제도화기(1906~07),2 의결직,행정·자치
OH0073,마쓰모토 세이이치,O003,직위,평의원·의원,민회의원,1908~,87-2;86-4,『대구민단사』,보조사료 대조 확인,확인,,본문표기 마쓰모토 세이치 — 1908 의석 명단 | 1908-02-05 당선(원문 표기 마쓰모토 세이치),확장기(1908~10),2 의결직,행정·자치
OH0074,마쓰무라 다이스케,O003,직위,평의원·의원,의원,1908~1910,99-1,『대구민단사』,보조사료 대조 확인,확인,,1908-12-21 정기선거 당선,확장기(1908~10),2 의결직,행정·자치
OH0075,마유미 다다시,O003,직위,평의원·의원,민회의원,1908~,87-2;86-4,『대구민단사』,보조사료 대조 확인,확인,,1908-02 보궐선거 후 의석 명단 | 1908-02-05 보궐선거 당선,확장기(1908~10),2 의결직,행정·자치
OH0076,모리나가 소이치,O003,직위,기타,수석서기,1907~1908,86-1,,대구물어 단독 전거,미확인,,민장 겸 조역 겸 회계역 겸 서기 격으로 사무 총괄,민단 제도화기(1906~07),3 집행간부·사무회계직,행정·자치
OH0077,미와 야키치,O003,직위,기타,구장(제7구 대표),1907~,79-1,,대구물어 단독 전거,미확인,,,민단 제도화기(1906~07),1 대표직,행정·자치
OH0078,미카지리 다케사부로,O003,직위,평의원·의원,민회의원,1906~,59-1;82-4,,대구물어 단독 전거,미확인,,1907-03 직원록(71-1)에는 미기재 | 1907-02 집안 형편으로 사임,민단 제도화기(1906~07),2 의결직,행정·자치
OH0079,미카지리 주고,O003,직위,평의원·의원,민회의원,1913~,90-3,『대구민단사』,보조사료 대조 확인,확인,,1913-01-30 출마·당선(세제개정안 반대 목적),시기외,2 의결직,행정·자치
OH0080,사이토 요시조,O003,직위,기타,구장(제10구 대표),1907~,79-1,,대구물어 단독 전거,미확인,,,민단 제도화기(1906~07),1 대표직,행정·자치
OH0081,사이토 요시조,O003,직위,평의원·의원,민회의원(보궐),1907~,63-1;71-1,『대구민단사』,보조사료 대조 확인,확인,,1907-01-20 보궐 당선,민단 제도화기(1906~07),2 의결직,행정·자치
OH0082,사카이 만지로,O003,직위,평의원·의원,민회의원,1906~1907,59-1;71-1;82-4;99-1,『대구민단사』,보조사료 대조 확인,확인,,원문 후지이 만지로(병합맵 적용) | 초기 당선자 중 임기 완수 | 1908-12-21 정기선거 당선,민단 제도화기(1906~07),2 의결직,행정·자치
OH0083,사키사카 쇼키치,O003,직위,기타,구장(제4구 대표),1907~,79-1,,대구물어 단독 전거,미확인,민회 의원 기록은 민단사에서 확인,,민단 제도화기(1906~07),1 대표직,행정·자치
OH0084,스기하라 신키치,O003,직위,기타,구장(제5구 대표),1907~,79-1,,대구물어 단독 전거,미확인,,,민단 제도화기(1906~07),1 대표직,행정·자치
OH0085,스기하라 신키치,O003,직위,평의원·의원,민회의원,1906~1907,59-1;71-1;82-4;85-3,『대구민단사』,보조사료 대조 확인,확인,,1907-12-16 사임 | 가게야마 사퇴에 결속하여 16일 사표 제출,민단 제도화기(1906~07),2 의결직,행정·자치
OH0086,스다 산페이,O003,직위,평의원·의원,민회의원,1906~1907,59-1;71-1;82-4,『대구민단사』,보조사료 대조 확인,확인,,1907-12-16 사임,민단 제도화기(1906~07),2 의결직,행정·자치
OH0087,시모다 고키치,O003,직위,평의원·의원,민회의원,1906~1907,59-1;71-1;82-4;85-3,『대구민단사』,보조사료 대조 확인,확인,,1907-12-16 사임 | 가게야마 사퇴에 결속하여 16일 사표 제출(원문 표기 시모타 고키치),민단 제도화기(1906~07),2 의결직,행정·자치
OH0088,시부사와 슈조,O003,직위,평의원·의원,민회의원,1908~,87-2;89-3;86-4,『대구민단사』,보조사료 대조 확인,확인,,1908-02 보궐선거 후 의석 명단 | 소명요구서 제안에 반대 | 1908-02-05 당선; 소명 상신 반대,확장기(1908~10),2 의결직,행정·자치
OH0089,아사노 세이치,O003,직위,의장,의장,1908~,87-3;95-2;87-4,『대구민단사』,보조사료 대조 확인,확인,민단사에 마노 세이치로 기록,의장선거 당선 | 신문 합병 조정에 진력 | 민회 의장으로 개회 선언,확장기(1908~10),1 대표직,행정·자치
OH0090,아사노 세이치,O003,직위,평의원·의원,민회의원,1908~,87-2;86-4,『대구민단사』,보조사료 대조 확인,확인,,1908-02 보궐선거 후 의석 명단 | 1908-02-05 보궐선거 당선,확장기(1908~10),2 의결직,행정·자치
OH0091,아오키 시게노부,O003,직위,평의원·의원,민회의원,1908~,87-2;89-3;99-1;86-4;87-4,『대구민단사』,보조사료 대조 확인,확인,,1908-02 보궐선거 후 의석 명단 | 소명요구서 제안에 반대 | 1908-12-21 정기선거 당선 | 1908-02-05 당선; 3-3 민회 결석; 소명 상신 반대,확장기(1908~10),2 의결직,행정·자치
OH0092,야스마쓰 구마키치,O003,직위,평의원·의원,민회의원(보궐),1907~,63-1;71-1;85-1;99-1,『대구민단사』,보조사료 대조 확인,확인,,1907-01-20 보궐 당선 | 1907년말 재적 8명 명부·1908 의석 명단(87-2) | 1908-12-21 정기선거 당선,민단 제도화기(1906~07),2 의결직,행정·자치
OH0093,오구라 다케노스케,O003,직위,의장,의장,1907~,82-4;99-2,『대구민단사』,보조사료 대조 확인,확인,,1907-11-29 당선(85-1에는 11-28로 기재) | 지난 임기 중 사임했다고 언급,민단 제도화기(1906~07),1 대표직,행정·자치
OH0094,오구라 다케노스케,O003,직위,평의원·의원,민회의원(보궐),1907~,63-1;71-1;99-1;85-3,『대구민단사』,보조사료 대조 확인,확인,,1907-01-20 보궐 당선 | 1908-12-21 정기선거 당선 | 가게야마 사퇴에 결속하여 16일 사표 제출,민단 제도화기(1906~07),2 의결직,행정·자치
OH0095,와타나베 무라오,O003,직위,기타,민장,1908,88-2;91-1;93-2;98-3;87-4;89-3;93-3,『대구민단사』,보조사료 대조 확인,확인,,"1908-03 첫 선출은 불인가, 재선 후 5월 말 취임 | 1908-03-03 건의안 선거로 당선→통감부 불인가→재선 인가·3년 임기 마침",확장기(1908~10),1 대표직,행정·자치
OH0096,와타나베 히스루,O003,직위,평의원·의원,민회 의원,1907~,38-1;63-1;71-1;85-1;99-1,『대구민단사』,보조사료 대조 확인,확인,,한때 재임 | 1907-01-20 보궐 당선 | 1907년말 재적 8명 명부·1908 의석 명단(87-2) | 1908-12-21 정기선거 당선,민단 제도화기(1906~07),2 의결직,행정·자치
OH0097,우에다 겐스케,O003,직위,기타,구장(제3구 대표),1907~,79-1,,대구물어 단독 전거,미확인,민회 의원은 확인,,민단 제도화기(1906~07),1 대표직,행정·자치
OH0098,우치다 로쿠로,O003,직위,기타,구장(제13구 대표),1907~,79-1;99-2,,대구물어 단독 전거,미확인,,,민단 제도화기(1906~07),1 대표직,행정·자치
OH0099,우치다 로쿠로,O003,직위,평의원·의원,의원,1908~1910,99-1,『대구민단사』,보조사료 대조 확인,확인,,1908-12-21 정기선거 당선,확장기(1908~10),2 의결직,행정·자치
OH0100,이나모토 신신,O003,직위,기타,구장(제2구 대표),1907~,79-1,,대구물어 단독 전거,미확인,,,민단 제도화기(1906~07),1 대표직,행정·자치
OH0101,이와세 시즈카,O003,직위,평의원·의원,민회의원,1906,59-1;82-4,『대구민단사』,보조사료 대조 확인,확인,,1906-12-21 당선·12-27 유곽지 문제로 사퇴(60-3) | 1906-12-27 사임,민단 제도화기(1906~07),2 의결직,행정·자치
OH0102,이케우치 시게히라,O003,직위,기타,구장(제8구 대표),1907~,79-1,,대구물어 단독 전거,미확인,,,민단 제도화기(1906~07),1 대표직,행정·자치
OH0103,하야시 진시치,O003,직위,평의원·의원,민회의원,1908~,87-2;99-1;86-4,『대구민단사』,보조사료 대조 확인,확인,,1908-02 보궐선거 후 의석 명단 | 1908-12-21 정기선거 당선 | 1908-02-05 보궐선거 당선,확장기(1908~10),2 의결직,행정·자치
OH0104,후쿠나가 도쿠지로,O003,직위,기타,구장(제11구 대표),1907~,79-1,,대구물어 단독 전거,미확인,민회 의원은 확인,,민단 제도화기(1906~07),1 대표직,행정·자치
OH0105,후쿠치 기사쿠,O003,직위,기타,회계검사위원,1908~,99-2,,대구물어 단독 전거,미확인,,,확장기(1908~10),6 위원직,행정·자치
OH0106,후쿠치 기사쿠,O003,직위,평의원·의원,의원,1908~1910,99-1,『대구민단사』,보조사료 대조 확인,확인,,1908-12-21 정기선거 당선 · 본문 표기 후쿠치 요시사쿠,확장기(1908~10),2 의결직,행정·자치
OH0107,가게야마 히데키,O004,직위,회장,설립위원장,1906,53-1,,대구물어 단독 전거,미대조,,1906-09-20 부이사관 임명; 전 시즈오카 농공은행장,민단 제도화기(1906~07),1 대표직,임시조직
OH0108,도쿠라 소로쿠,O004,직위,기타,회계위원,1906,53-1,,대구물어 단독 전거,미대조,,,민단 제도화기(1906~07),6 위원직,임시조직
OH0109,가미모리 겐자부로,O005,직위,기타,위원,1906~1907,55-3;71-1,,대구물어 단독 전거,미대조,,북문위원,민단 제도화기(1906~07),6 위원직,임시조직
OH0110,가와이 아사오,O005,직위,기타,위원,1906~1907,55-3;71-1,,대구물어 단독 전거,미대조,,남문위원·결의 반대로 퇴장당함,민단 제도화기(1906~07),6 위원직,임시조직
OH0111,나카에 고로헤이,O005,직위,기타,위원,1906~1907,55-3;71-1,,대구물어 단독 전거,미대조,,서문위원,민단 제도화기(1906~07),6 위원직,임시조직
OH0112,도쿠라 소로쿠,O005,직위,기타,위원,1906~1907,55-3;71-1,,대구물어 단독 전거,미대조,,서문위원,민단 제도화기(1906~07),6 위원직,임시조직
OH0113,마스다 도라타,O005,직위,기타,위원,1906~1907,55-3;71-1,,대구물어 단독 전거,미대조,,남문위원·성벽파괴 청부 결의 반대,민단 제도화기(1906~07),6 위원직,임시조직
OH0114,마치다 규고,O005,직위,기타,위원,1906~1907,55-3;71-1,,대구물어 단독 전거,미대조,,북문위원,민단 제도화기(1906~07),6 위원직,임시조직
OH0115,세노 히사타로,O005,직위,기타,위원,1906~1907,55-3;71-1,,대구물어 단독 전거,미대조,,남문위원·결의 반대,민단 제도화기(1906~07),6 위원직,임시조직
OH0116,오구라 다케노스케,O005,직위,기타,위원,1906~1907,55-3;71-1,,대구물어 단독 전거,미대조,,동문위원,민단 제도화기(1906~07),6 위원직,임시조직
OH0117,오쿠보 다사부로,O005,직위,기타,위원,1906~1907,55-3;71-1,,대구물어 단독 전거,미대조,,동문위원,민단 제도화기(1906~07),6 위원직,임시조직
OH0118,요시다 사시치,O005,직위,기타,위원,1906~1907,55-3;71-1,,대구물어 단독 전거,미대조,,북문위원,민단 제도화기(1906~07),6 위원직,임시조직
OH0119,요시다 주이치로,O005,직위,기타,위원,1906~1907,55-3;71-1,,대구물어 단독 전거,미대조,,동문위원,민단 제도화기(1906~07),6 위원직,임시조직
OH0120,이와세 시즈카,O005,직위,기타,위원,1906~1907,55-3;71-1,,대구물어 단독 전거,미대조,,서문위원,민단 제도화기(1906~07),6 위원직,임시조직
OH0121,서상돈,O006,직위,기타,대구시장,1906~1907,67-1,,대구물어 단독 전거,미대조,,시의소 추대·'대구시청' 간판;1907-06까지 존속,민단 제도화기(1906~07),8 행정관직,행정·자치(한국인)
OH0122,가미모리 겐자부로,O007,직위,발기인,창립위원,1906,57-3,『대구민단사』,보조사료 대조 확인,확인,,,민단 제도화기(1906~07),10 발기인,경제
OH0123,가미야 도요나리,O007,직위,발기인,창립위원,1906,57-3,『대구민단사』,보조사료 대조 확인,확인,민단사에는 가미야 도요카쓰로 표기. 하지만 가미야 도요나리,,민단 제도화기(1906~07),10 발기인,경제
OH0124,가와이 아사오,O007,직위,의장,임시 의장,1909,107-3,,대구물어 단독 전거,미확인,,1909-03-21 임시총회 임시 의장 당선,확장기(1908~10),1 대표직,경제
OH0125,가와이 아사오,O007,직위,이사·간사,상치위원,1907~,64-1;71-1,『대구민단사』,보조사료 대조 확인,확인,,,민단 제도화기(1906~07),3 집행간부·사무회계직,경제
