record_id,인물,event_id,역할,원표기,근거절,보조출전,근거수준,비고
EP0062,우치다 로쿠로,E018,대표·위원,평의원,3-2,,회고록단독,평의원 명단 열거
EP0063,이노 히데스케,E018,대표·위원,부회장,3-2,,회고록단독,간부 명단 열거
EP0064,이노우에 쓰네나오,E018,대표·위원,의장,3-2,,회고록단독,간부 명단 열거
EP0065,야기 다쓰마,E019,당사자·대상,소장,48-2,,회고록단독,법학사 소장 취임 서술(임명 당사자)
EP0066,도쿠라 소로쿠,E020,대표·위원,주최자 대표,5-1,,회고록단독,주최자 대표 담당 명시
EP0067,후카와 고테쓰,E020,주도자,법사 사회,5-1,,회고록단독,추도회 법사 사회 담당 명시
EP0068,시라타 신스케,E022,연설자,축사,7-1,,회고록단독,축하회 축사·연설 기록 서술
EP0069,요시다 주이치로,E022,연설자,축사·연설,7-1,,회고록단독,노장파 논객 축사·연설 기록 서술
EP0070,마키노 슈,E022,주도자,창설자,7-1,,회고록단독,창설·공동경영 명시
EP0071,시모즈 사부로,E022,주도자,창설자,7-1,,회고록단독,창설·공동경영 명시
EP0072,가와이 아사오,E023,참석자,특약점,11-3,,회고록단독,축하회 참석자에게 궐련 증정('나'=저자 지정)
EP0073,고다마 이타로,E023,참석자,특약점,11-3,,회고록단독,상의하여 궐련 증정 참여
EP0074,시부사와 에이치,E024,당사자·대상,환영 대상,4-3,,회고록단독,한일 합동 환영의 대상
EP0075,시부사와 에이치,E024,연설자,일장 연설,4-3,,회고록단독,한일친선 일장 연설 명시(역할 분리)
EP0076,오구라 다케노스케,E024,연설자,환영사,4-3,,회고록단독,일장 환영사 명시
EP0077,이용익,E025,당사자·대상,관찰사,7-2,,회고록단독,배척 대상·토지매매 금지 조치 주체(조선인 관리)
EP0078,가미야 도요나리,E025,발기인,발기인,7-2,,회고록단독,발기인 명단 열거
EP0079,가야모리 세이타로,E025,발기인,발기인,7-2,,회고록단독,발기인 명단 열거(본문 가시와모리 세이타로=柏森精太郎 동일 한자)
EP0080,가와시마 규에몬,E025,발기인,발기인,7-2,,회고록단독,발기인 명단 열거
EP0081,고지마 구마노조,E025,발기인,발기인,7-2,,회고록단독,발기인 명단 열거
EP0082,나카니시 다몬,E025,발기인,발기인,7-2,,회고록단독,발기인 명단 열거
EP0083,니시무라 우이치로,E025,발기인,발기인,7-2,,회고록단독,발기인 명단 열거
EP0084,다니구치 세이노스케,E025,발기인,발기인,7-2,,회고록단독,발기인 명단 열거
EP0085,도요타 게이조,E025,발기인,발기인,7-2,,회고록단독,발기인 명단 열거
EP0086,도쿠라 소로쿠,E025,발기인,발기인,7-2,,회고록단독,발기인 27명 명단 열거
EP0087,마스다 도라타,E025,발기인,발기인,7-2,,회고록단독,발기인 명단 열거
EP0088,마유미 다다시,E025,발기인,발기인,7-2,,회고록단독,발기인 명단 열거
EP0089,마치다 규고,E025,발기인,발기인,7-2,,회고록단독,발기인 명단 열거
EP0090,미와 조테쓰,E025,발기인,발기인,7-2,,회고록단독,발기인 명단 열거
EP0091,샤쿠오 슌조,E025,발기인,발기인,7-2,,회고록단독,발기인 명단 열거
EP0092,스다 산페이,E025,발기인,발기인,7-2,,회고록단독,발기인 명단 열거
EP0093,스즈키 히사지로,E025,발기인,발기인,7-2,,회고록단독,발기인 명단 열거
EP0094,시노하라 가나메,E025,발기인,발기인,7-2,,회고록단독,발기인 명단 열거(본문 시노하라 가나오 병합맵 적용)
EP0095,시라타 신스케,E025,발기인,발기인,7-2,,회고록단독,발기인 명단 열거
EP0096,시모다 고키치,E025,발기인,발기인,7-2,,회고록단독,발기인 명단 열거
EP0097,시모즈 사부로,E025,발기인,발기인,7-2,,회고록단독,발기인 명단 열거
EP0098,아키모토 세이타로,E025,발기인,발기인,7-2,,회고록단독,발기인 명단 열거
EP0099,오구라 다케노스케,E025,발기인,발기인,7-2,,회고록단독,발기인 명단 열거
EP0100,오카다 기하치,E025,발기인,발기인,7-2,,회고록단독,발기인 명단 열거(본문 오카다 지로 병합맵 적용)
EP0101,오카다 데쓰고로,E025,발기인,발기인,7-2,,회고록단독,발기인 명단 열거
EP0102,오카모토 우이치,E025,발기인,발기인,7-2,,회고록단독,발기인 명단 열거
EP0103,오쿠보 다사부로,E025,발기인,발기인,7-2,,회고록단독,발기인 명단 열거
EP0104,오키타 스테지로,E025,발기인,발기인,7-2,,회고록단독,발기인 명단 열거
EP0105,박중양,E025,중재자,,7-3,,회고록단독,중재에 나섬 명시(조선인 관리)
EP0106,히타카 사이지,E025,중재자,수비대장 육군대위,7-3,,회고록단독,중재에 나서 구금 한국인 석방 서술
EP0107,이용익,E026,당사자·대상,관찰사,13-2,,회고록단독,담판 상대·개간 명령 주체(조선인 관리)
EP0108,도쿠라 소로쿠,E026,주도자,일본거류민회 부회장,13-2,,회고록단독,재촉받아 담판 동참 서술
EP0109,미와 조테쓰,E026,주도자,,13-2,,회고록단독,도쿠라를 재촉하고 담판 발의·주도 서술
EP0110,박중양,E026,주도자,,13-2,,회고록단독,함께 담판 동행 명시(조선인 관리)
EP0111,히자쓰키 마스키치,E026,주도자,,13-2,,회고록단독,함께 담판 동행 명시
EP0112,히타카 사이지,E026,중재자,수비대장 대위,13-2,,회고록단독,응원 요청 받아 개입(본문 성+직함 표기)
EP0113,다도코로 유키에,E027,대표·위원,민장,5-1,,회고록단독,민장 당선 명시(당선자)
EP0114,후시미노미야 히로야스,E029,당사자·대상,전하,11-4,,회고록단독,대구역 통과 봉송 대상
EP0115,가와이 아사오,E032,주도자,,26-2,,회고록단독,당선 후 첫 회의에서 인두세 불가 주장·합법 세제 요구('나'=저자 지정)
EP0116,샤쿠오 슌조,E032,참석자,방청,26-3,,회고록단독,방청석에서 야유 서술
EP0117,기리오카 긴조,E033,주도자,,14-1,,회고록단독,공동 설립 명시
EP0118,나카무라 도시마쓰,E033,주도자,이사장,14-1,,회고록단독,공동 설립·이사장 취임 명시
EP0119,도쿠라 소로쿠,E033,주도자,지배인,14-1,,회고록단독,공동 설립·지배인 취임 명시
EP0120,오타 가쓰사부로,E033,주도자,,14-1,,회고록단독,공동 설립 명시
EP0121,이노우에 쓰네나오,E033,주도자,감사 겸 회계주임,14-1,,회고록단독,공동 설립·취임 명시(본문 이노우에 쓰네타다=井上常直 구표기 병합)
EP0122,다케 아무개,E034,당사자·대상,지정 운송취급점,29-1,,회고록단독,계약 상대 명시·신규인물후보(성만 표기·이토 모토타로 가게 담당)
EP0123,가와이 아사오,E034,주도자,,29-1,,회고록단독,앞장서서 하주조합 조직('나'=저자 지정)
EP0124,샤쿠오 슌조,E035,주도자,발행,27-1,,회고록단독,순간 신문 『조선』 발행 명시
EP0125,아쿠타가와 다다시,E036,당사자·대상,주필,27-2,,회고록단독,후임 주필 승계 당사자(본문 노다 다다시 병합맵 적용)
EP0126,우에다 고쿠초,E036,당사자·대상,주필,27-2,,회고록단독,주필 부임 2개월 만 이직 당사자
EP0127,가와이 아사오,E037,당사자·대상,,31-1,,회고록단독,판매경쟁 당사자('나'=저자 지정)
EP0128,쓰지 소노지로,E037,당사자·대상,하라타지점 주임,31-1,,회고록단독,판매경쟁 상대 당사자
EP0129,사사키 이치조,E037,중재자,,31-2,,회고록단독,중간 개입해 원만 해결 명시
EP0130,사카이 만지로,E038,당사자·대상,후지이,34-2,,회고록단독,화적 피습 중상 피해자(후지이 병합맵 적용)
EP0131,우에다 기사부로,E038,참석자,환전업자,34-2,,회고록단독,조난 소식 전달 행위 명시(역할어휘 경계 사례)
EP0132,가시마 쇼키치,E040,대표·위원,소두,35-2,,회고록단독,창설 조직 구성 명단
EP0133,도쿠라 소로쿠,E040,대표·위원,관리위원,35-2,,회고록단독,관리위원 명단 열거
EP0134,마유미 다다시,E040,대표·위원,관리위원,35-2,,회고록단독,관리위원 명단 열거
EP0135,사이토 요시조,E040,대표·위원,관리위원,35-2,,회고록단독,관리위원 명단 열거
EP0136,스다 산페이,E040,대표·위원,관리위원,35-2,,회고록단독,관리위원 명단 열거(본문 스다 산폐이 구표기)
EP0137,스에마쓰 긴지로,E040,대표·위원,소두,35-2,,회고록단독,창설 조직 구성 명단
EP0138,스즈키 히사지로,E040,대표·위원,조장,35-2,,회고록단독,창설 조직 구성 명단(1906-01 시무식 당시·발기인과 역할 분리)
EP0139,시모조 효자부로,E040,대표·위원,별대부장,35-2,,회고록단독,창설 조직 구성 명단
EP0140,아베 기노스케,E040,대표·위원,소두,35-2,,회고록단독,창설 조직 구성 명단
EP0141,우라하마 야스타로,E040,대표·위원,부장,35-2,,회고록단독,창설 조직 구성 명단
EP0142,우치다 로쿠로,E040,대표·위원,관리위원,35-2,,회고록단독,관리위원 명단 열거(발기인과 역할 분리)
EP0143,하라타 요시조,E040,대표·위원,소두,35-2,,회고록단독,창설 조직 구성 명단
EP0144,스즈키 히사지로,E040,발기인,발기인,35-2,,회고록단독,발기인 열거
EP0145,우치다 로쿠로,E040,발기인,발기인,35-2,,회고록단독,발기인 열거(상호 명의 발기인 제외)
EP0146,다나카 준지,E040,참석자,별대 갈고리 담당,35-2,,회고록단독,별대 갈고리 담당 서술(구성원 행위 확인)
EP0147,서상돈,E041,당사자·대상,옹,36-2,,회고록단독,설득 받아 투자·손해 당사자(조선인 자산가)
EP0148,야기 마쓰다로,E041,주도자,,36-2,,회고록단독,서상돈 설득·부식원 설립 명시(본문 야기 마쓰타로 표기)
EP0149,요시무라 가쓰타로,E041,참석자,사무원,36-2,,회고록단독,밑에서 사무원 근무 명시
EP0150,가와이 아사오,E044,주도자,,38-1,,회고록단독,즉시 조합 조직 제창('나'=저자 지정)
EP0151,와타나베 히스루,E044,주도자,,38-1,,회고록단독,석유 문제 발의·사명 갖고 진출 서술
EP0152,오이케 주스케,E045,주도자,부산의 오이케 주스케(大池忠助),38-2,,회고록단독,성벽 파괴·도로부지 2칸 폭 99년 무상대여를 한국정부에 청원 명시
EP0153,미와 조테쓰,E046,연설자,미와 조테쓰(三輪如鐵),28-1,,회고록단독,참석해 소감 연설 명시
EP0154,가와이 아사오,E046,주도자,나,28-1,,회고록단독,'나를 더해' 주도 열거(나=가와이 아사오·병합맵)
EP0155,다도코로 유키에,E046,주도자,다토코로 유키에(田所幸衛),28-1,,회고록단독,구락부 주도 인물 열거
EP0156,마키노 슈,E046,주도자,마키노 슈(牧野周),28-1,,회고록단독,구락부 주도 인물 열거
EP0157,스즈키 히사지로,E046,주도자,스즈키 히사지로(鈴木久次郎),28-1,,회고록단독,주도 열거·발회식에서 앞장서 주도 서술
EP0158,히자쓰키 마스키치,E046,주도자,히자쓰키 마스키치(膝付益吉),28-1,,회고록단독,구락부 주도 인물 열거
EP0159,박중양,E046,참석자,박중양(일본 이름 야마모토 신),28-1,,회고록단독,발회식에서 저자가 처음 만났다는 서술
EP0160,우에다 고쿠초,E046,참석자,우에다 고쿠초(上田黒潮),28-1,,회고록단독,발회식에서 저자가 처음 만났다는 서술
EP0161,이다 아키라,E046,참석자,이다 아키라(飯田章) 경무고문,28-1,,회고록단독,내회 서술
EP0162,이와세 시즈카,E046,참석자,이와세 시즈카(岩瀬静),28-1,,회고록단독,참석 명시
EP0163,이토 쓰네조,E046,참석자,이토 쓰네조(伊藤恆藏) 재무고문,28-1,,회고록단독,내회 서술
EP0164,다도코로 유키에,E047,당사자·대상,다도코로 민장,24-2,,회고록단독,진언 거부·반성 촉구의 대상
EP0165,오키타 스테지로,E047,주도자,오키타 스테지로(沖田棄次郎),24-2;24-3,,회고록단독,동지 규합·쇄신회 결성·선언서 집필 서술
EP0166,가와이 아사오,E048,당사자·대상,가와이 아사오(河井朝雄),24-3;25-1,,회고록단독,쇄신회 후보·25표 낙선
EP0167,다도코로 유키에,E048,당사자·대상,다도코로(田所) 민장,25-1,,회고록단독,무효표 처리 논란·선거 후 면담·투표용지 점검 상대
EP0168,마치다 규고,E048,당사자·대상,마치다 규고(町田久吾),24-3,,회고록단독,쇄신회 후보 추천·입후보 불승낙
EP0169,오카모토 우이치,E048,당사자·대상,오카모토 우이치(岡本宇一),24-3;25-1,,회고록단독,쇄신회 후보 추천·낙선
EP0170,오키타 스테지로,E048,당사자·대상,쇄신회 후보자,24-3;25-1,,회고록단독,쇄신회 후보 추천·낙선(어휘에 '후보' 없어 당사자 처리)
EP0171,고다마 이타로,E048,대표·위원,고다마 이타로(兒玉伊太郎),24-3;25-1,,회고록단독,민장파 후보·27표 당선
EP0172,도쿠라 소로쿠,E048,대표·위원,도쿠라 소로쿠(戸倉十六),24-3;25-1,,회고록단독,민장파 후보·당선
EP0173,오구라 다케노스케,E048,대표·위원,오구라 다케노스케(小倉武之助),24-3;25-1,,회고록단독,민장파 후보·최다 48표 당선
EP0174,히자쓰키 마스키치,E048,대표·위원,히자쓰키 마스키치(膝付益吉),24-3;25-1,,회고록단독,민장파 후보·당선
EP0175,가와이 아사오,E049,당사자·대상,나(가와이),25-1;25-2;26-2,,회고록단독,무효표 처리 항의·소원 준비 당사자
EP0176,다도코로 유키에,E049,당사자·대상,다도코로(田所) 민장,25-1;26-2,,회고록단독,분쟁 상대방·사과 당사자
EP0177,도쿠라 소로쿠,E049,당사자·대상,도쿠라 소로쿠(戸倉十六),26-2,,회고록단독,평의원 사퇴 당사자
EP0178,가와이 아사오,E049,대표·위원,차점자,26-2,,회고록단독,도쿠라 사퇴로 차점 당선
EP0179,도쿠라 소로쿠,E049,중재자,도쿠라 소로쿠(戸倉十六),26-2,,회고록단독,사퇴 제안으로 타협 설득
EP0180,마스다 도라타,E049,중재자,마스다 도라타(增田虎太),26-1;26-2,,회고록단독,타협 권유·도쿠라 동반 설득
EP0181,오키타 도시타로,E049,중재자,오키타 도시타로(沖田敏太郎),25-2,,회고록단독,가와이 측 소원장 집필로 제3자 개입(중립적 중재 아님·경계)
EP0182,하타모토 기헤이,E049,중재자,민회 수석 서기 하타모토 기헤이(畑本儀平),26-1;26-2,,회고록단독,방문 설득·'중재에 나서' 명시
EP0183,아와타 에이지로,E050,대표·위원,교장 겸 교사 아와타 에이지로(粟田英次郎),30-2,,회고록단독,개교 시 교장 겸 교사 위촉
EP0184,히자쓰키 마스키치,E050,주도자,히자쓰키(膝付),30-1,,회고록단독,공학 불가 설득·소학교 설립 종용 명시
EP0185,나가에 요시마사,E050,참석자,나가에 요시마사(長泳義正),30-2,,회고록단독,개교 당시 재학생 명단 열거
EP0186,다나카 가나메,E050,참석자,다나카 가나메(田中 要),30-2,,회고록단독,개교 당시 재학생 명단 열거
EP0187,아카시 세이코,E050,참석자,아카시 세이코(明石せい子),30-2,,회고록단독,개교 당시 재학생 명단 열거
EP0188,야마노 우에쿠니,E050,참석자,야마노 우에쿠니(山の上くに) 여사,30-2,,회고록단독,개교 당시 재학생 명단 열거
EP0189,야마다 히로미치,E050,참석자,야마다 히로미치(山田博道),30-2,,회고록단독,개교 당시 재학생 명단 열거
EP0190,오치 치에코,E050,참석자,오치 와스케의 부인 치에코(ちゑ子),30-2,,회고록단독,개교 당시 재학생 명단 열거
EP0191,다도코로 유키에,E052,참석자,다도코로(田所) 민회장,13-3,,회고록단독,요배식 입회 명시
EP0192,아리마 고코,E052,참석자,아리마(有馬) 경찰서장,13-3,,회고록단독,요배식 입회 명시
EP0193,야마다(수비대장),E052,참석자,후임 수비대장 야마다(山田) 중위,13-3,,회고록단독,요배식 입회 명시
EP0194,가시마 쇼키치,E055,대표·위원,소두(小頭),35-2,,회고록단독,임원 명단
EP0195,스에마쓰 긴지로,E055,대표·위원,소두(小頭),35-2,,회고록단독,임원 명단
EP0196,스즈키 히사지로,E055,대표·위원,조장(組長),35-2,,회고록단독,시무식 당시 임원 명단(조장)
EP0197,시모조 효자부로,E055,대표·위원,별대(別隊)부장,35-2,,회고록단독,임원 명단
EP0198,아베 기노스케,E055,대표·위원,소두(별대),35-2,,회고록단독,임원 명단
EP0199,우라하마 야스타로,E055,대표·위원,부장(副長),35-2,,회고록단독,임원 명단
EP0200,하라타 요시조,E055,대표·위원,소두(별대),35-2,,회고록단독,임원 명단
EP0201,다나카 준지,E055,참석자,별대 갈고리 담당,35-2,,회고록단독,당시 별대 갈고리 담당 서술
EP0202,다도코로 유키에,E056,발기인,다도코로 민장,42-2,,회고록단독,'민장 및 평의회 의장 등의 발기' 명시
EP0203,오키타 스테지로,E057,당사자·대상,편집,70-2,,회고록단독,편집 취임·2개월 만 사퇴 당사자
EP0204,사토 겐쇼,E058,당사자·대상,사토 겐쇼(佐藤玄性) 법사,29-4,,회고록단독,후임 승계 당사자
EP0205,스토 시즈야,E058,당사자·대상,스토 시즈야(首蕂諍也) 법사,29-4,,회고록단독,전임 명령으로 이임 당사자
EP0206,하세가와 요시미치,E059,당사자·대상,통감대리 하세가와 요시미쓰(長谷川好道) 대장,42-2,,회고록단독,진정 방문의 교섭 상대방(대표 표기 하세가와 요시미치)
EP0207,다도코로 유키에,E059,대표·위원,다도코로 민장·거류민 일동 대표,42-2,,회고록단독,거류민 대표로 경성행·이사청 설치와 민단법 시행 요망
EP0208,의친왕,E063,대표·위원,특파대사 의친왕 전하,47-2,,회고록단독,특파대사 파견 명시·신규인물후보
EP0209,이근호,E063,대표·위원,부사(副使) 육군부장,47-2,,회고록단독,부사로 파견·전 경북관찰사
EP0210,박중양,E063,참석자,수행원(한국 군부 기사 자격),47-2,,회고록단독,수행원으로 참석 명시
EP0211,다도코로 유키에,E065,당사자·대상,거류민회장 다도코로 유키에(田所幸衛),51-3;30-3,,회고록단독,신문 공격 대상·사표 취합·사무 잔무 처리 당사자
EP0212,이와세 시즈카,E065,당사자·대상,이와세 시즈카(岩瀬靜),51-3;30-3,,회고록단독,신문 공격 대상
EP0213,사카모토 준,E065,주도자,사카모토 준(坂本淳),51-3;30-3,,회고록단독,대구일일신문 지면에서 다도코로·의원 공격 주도
EP0214,이와사키 다미야,E066,대표·위원,초대 신관,53-4,,회고록단독,초대 신관 위촉
EP0215,미와 조테쓰,E066,주도자,미와 조테쓰(三輪如鉄),53-4,,회고록단독,앞장서서 요배전 건축 주선 명시
EP0216,이와세 시즈카,E066,주도자,이와세 시즈카(岩瀬静),42-2,,회고록단독,건축비 1500원 중 150원 솔선 기부(기부자 어휘 부재·경계)
EP0217,가와이 아사오,E068,대표·위원,영업주임,14-1;14-2,,회고록단독,영업주임 초빙·경매시장 신설 등 성과 서술
EP0218,사토 이사부로,E068,대표·위원,후임(영업주임),14-2,,회고록단독,가와이 추천으로 후임 영업주임
EP0219,마에다 아쓰시,E069,당사자·대상,마에다 아쓰시(前田篤志),30-2,,회고록단독,승계 당사자
EP0220,아와타 에이지로,E069,당사자·대상,아와타 교장,30-2,,회고록단독,1906년 봄 이임 당사자
EP0221,히와타시 세이에이,E069,당사자·대상,히와타시 세이에이(樋渡清栄),30-2,,회고록단독,마에다 후임 부임 당사자
EP0222,다도코로 유키에,E070,당사자·대상,다도코로(田所) 민장,42-2,,회고록단독,민장 반대 운동의 대상
EP0223,이와세 시즈카,E070,당사자·대상,이와세 시즈카(岩瀬静),42-2,,회고록단독,반감의 대상
EP0224,니시모토 민조,E070,대표·위원,니시모토 민조(西本民城),42-2,,회고록단독,보궐선거로 등장한 평의원 열거·민장과 충돌
EP0225,류 고키치,E070,대표·위원,류 고키치(龍浩吉),42-2,,회고록단독,보궐선거로 등장한 평의원 열거·민장과 충돌
EP0226,아카호시 조조,E070,대표·위원,아카호시 조조(赤星讓三),42-2,,회고록단독,보궐선거로 등장한 평의원 열거·민장과 충돌
EP0227,오키타 도시타로,E070,대표·위원,오키타 도시타로(沖田敏太郎),42-2,,회고록단독,보궐선거로 등장한 평의원 열거·민장과 충돌
EP0228,이나가키 시게미치,E070,대표·위원,이나가키 시게미치(稲垣重道),42-2,,회고록단독,보궐선거로 등장한 평의원 열거·민장과 충돌
EP0229,오구라 다케노스케,E071,주도자,오구라 다케노스케(小倉武之助),42-3,,회고록단독,출자자를 모아 조직 명시
EP0230,곤도 렌페이,E071,참석자,일본우선계의 곤도 렌페이(近藤廉平),42-3,,회고록단독,출자자로 규합(출자자 어휘 부재·경계)
EP0231,후루쇼 모토사네,E072,주도자,구마모토현의 정객 후루쇼 모토사네(古荘幹實),42-3,,회고록단독,기업전습소 설립 명시
EP0232,서상돈,E073,주도자,서상돈(徐相敦) 옹,42-3,,회고록단독,후원으로 설립(후원자 어휘 부재·경계)
EP0233,시노하라 이마시로,E073,주도자,시노하라 이마시로(篠原今四郎),42-3,,회고록단독,잠업전습소 설립 명시
EP0234,이종국,E073,주도자,이종국,42-3,,회고록단독,공동경영 방식 운영 명시
EP0235,우시오카 라히사,E074,당사자·대상,우시오카 라히사(潮嘉良久),45-2,,회고록단독,습격으로 피살(피해자)
EP0236,쓰치야 히코타로,E075,대표·위원,지배인 법학사,46-1,,회고록단독,지배인 취임 명시
EP0237,이석진,E075,대표·위원,은행장,46-1;46-2,,회고록단독,은행장 추대 명시
EP0238,가와이 아사오,E075,참석자,가와이 아사오 댁 최영옥(河井朝雄方 崔栄玉) 명의,46-1,,회고록단독,차명 10주 소유
